"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"1992-1","0140","nan","March 31, 1992","CALGARY",1917,1530,1.25294117647059,0
"1992-1","0140",NA,"March 31, 1992","CALGARY",154,60,2.56666666666667,0
"1992-2","0140","nan","June 30, 1992","CALGARY",2511,2092,1.20028680688337,0
"1992-2","0140",NA,"June 30, 1992","CALGARY",154,60,2.56666666666667,0
"1992-3","0140","nan","September 30, 1992","CALGARY",2263,1733,1.30582804385459,0
"1992-3","0140",NA,"September 30, 1992","CALGARY",87,34,2.55882352941176,0
"1992-4","0140",NA,"December 31, 1992","CALGARY",87,34,2.55882352941176,0
"1992-4","0140","nan","December 31, 1992","CALGARY",2367,1854,1.27669902912621,0
"1993-1","0140","nan","March 31, 1993","CALGARY",2407,1819,1.32325453545904,0
"1993-1","0140",NA,"March 31, 1993","CALGARY",87,34,2.55882352941176,0
"1993-2","0140",NA,"June 30, 1993","CALGARY",87,34,2.55882352941176,0
"1993-2","0140","nan","June 30, 1993","CALGARY",2587,1928,1.34180497925311,0
"1993-3","0140",NA,"September 30, 1993","CALGARY",157,26,6.03846153846154,0
"1993-3","0140","nan","September 30, 1993","CALGARY",2500,1810,1.38121546961326,0
"1993-4","0140","nan","December 31, 1993","CALGARY",2578,1942,1.32749742533471,0
"1993-4","0140",NA,"December 31, 1993","CALGARY",57,25,2.28,0
"1994-1","0140",NA,"March 31, 1994","CALGARY",57,25,2.28,0
"1994-1","0140","nan","March 31, 1994","CALGARY",2521,1999,1.26113056528264,0
"1994-2","0140","nan","June 30, 1994","CALGARY",2691,2214,1.21544715447154,0
"1994-2","0140",NA,"June 30, 1994","CALGARY",13,3,4.33333333333333,0
"1994-3","0140",NA,"September 30, 1994","CALGARY",13,3,4.33333333333333,0
"1994-3","0140","nan","September 30, 1994","CALGARY",2575,1698,1.51648998822144,0
"1994-4","0140",NA,"December 31, 1994","CALGARY",14,4,3.5,0
"1994-4","0140","nan","December 31, 1994","CALGARY",2824,1605,1.7595015576324,0
"1995-1","0140","nan","March 31, 1995","CALGARY",2703,1594,1.69573400250941,0
"1995-2","0140","nan","June 30, 1995","CALGARY",2825,1744,1.61983944954128,0
"1995-3","0140","nan","September 30, 1995","CALGARY",3031,1674,1.81063321385902,0
"1995-3","0140",NA,"September 30, 1995","CALGARY",2,2,1,0
"1995-4","0140",NA,"December 31, 1995","CALGARY",2,2,1,0
"1995-4","0140","nan","December 31, 1995","CALGARY",2853,1729,1.65008675534991,0
"1996-1","0140",NA,"March 31, 1996","CALGARY",2,2,1,0
"1996-1","0140","nan","March 31, 1996","CALGARY",2916,1640,1.7780487804878,0
"1996-2","0140","nan","June 30, 1996","CALGARY",3315,2187,1.51577503429355,0
"1996-2","0140",NA,"June 30, 1996","CALGARY",3,3,1,0
"1996-3","0140",NA,"September 30, 1996","CALGARY",4,4,1,0
"1996-3","0140","nan","September 30, 1996","CALGARY",3276,2225,1.4723595505618,0
"1996-4","0140","nan","December 31, 1996","CALGARY",3177,2218,1.43237150586114,0
"1996-4","0140",NA,"December 31, 1996","CALGARY",4,4,1,0
"1997-1","0140","nan","March 31, 1997","CALGARY",4067,2912,1.39663461538462,0
"1997-1","0140",NA,"March 31, 1997","CALGARY",4,4,1,0
"1997-2","0140",NA,"June 30, 1997","CALGARY",2,2,1,0
"1997-2","0140","nan","June 30, 1997","CALGARY",4806,3414,1.40773286467487,0
"1997-3","0140","nan","September 30, 1997","CALGARY",4688,3155,1.48589540412044,0
"1997-3","0140",NA,"September 30, 1997","CALGARY",2,2,1,0
"1997-4","0140","nan","December 31, 1997","CALGARY",5209,3403,1.53070819864825,0
"1997-4","0140",NA,"December 31, 1997","CALGARY",3,3,1,0
"1998-1","0140","nan","March 31, 1998","CALGARY",5819,3725,1.56214765100671,0
"1998-1","0140",NA,"March 31, 1998","CALGARY",2,2,1,0
"1998-2","0140","nan","June 30, 1998","CALGARY",6248,4281,1.45947208596122,0
"1998-2","0140",NA,"June 30, 1998","CALGARY",1,1,1,0
"1998-3","0140",NA,"September 30, 1998","CALGARY",2,2,1,0
"1998-3","0140","nan","September 30, 1998","CALGARY",5918,3823,1.54799895370128,0
"1998-4","0140","nan","December 31, 1998","CALGARY",5582,3168,1.76199494949495,0.0271464646464646
"1998-4","0140","T2E","December 31, 1998","CALGARY",1,1,1,0
"1998-4","0140",NA,"December 31, 1998","CALGARY",6,6,1,0
"1999-1","0140","nan","March 31, 1999","CALGARY",5781,2625,2.20228571428571,0.0457142857142857
"1999-1","0140","T2E","March 31, 1999","CALGARY",1,1,1,0
"1999-1","0140",NA,"March 31, 1999","CALGARY",9,9,1,0
"1999-2","0140",NA,"June 30, 1999","CALGARY",15,15,1,0
"1999-2","0140","T2E","June 30, 1999","CALGARY",1,1,1,0
"1999-2","0140","nan","June 30, 1999","CALGARY",6292,2854,2.20462508759636,0.0455501051156272
"1999-3","0140","nan","September 30, 1999","CALGARY",6611,2852,2.31802244039271,0.0480364656381487
"1999-3","0140",NA,"September 30, 1999","CALGARY",17,17,1,0
"1999-3","0140","T2E","September 30, 1999","CALGARY",1,1,1,0
"1999-4","0140",NA,"December 31, 1999","CALGARY",21,15,1.4,0
"1999-4","0140","T2E","December 31, 1999","CALGARY",1,1,1,0
"1999-4","0140","nan","December 31, 1999","CALGARY",6521,2697,2.41787170930664,0.0389321468298109
"2000-1","0140","T2T","March 31, 2000","CALGARY",10,1,10,0
"2000-1","0140","T2E","March 31, 2000","CALGARY",1,1,1,0
"2000-1","0140","nan","March 31, 2000","CALGARY",6557,2747,2.38696760101929,0.0185657080451402
"2000-1","0140",NA,"March 31, 2000","CALGARY",17,10,1.7,0
"2000-2","0140","T2E","June 30, 2000","CALGARY",1,1,1,0
"2000-2","0140","nan","June 30, 2000","CALGARY",6497,2931,2.21664960764244,0.0320709655407711
"2000-2","0140","T2T","June 30, 2000","CALGARY",10,1,10,0
"2000-2","0140",NA,"June 30, 2000","CALGARY",12,7,1.71428571428571,0
"2000-3","0140","T2T","September 30, 2000","CALGARY",10,1,10,0
"2000-3","0140","T2E","September 30, 2000","CALGARY",1,1,1,0
"2000-3","0140","nan","September 30, 2000","CALGARY",6476,2737,2.36609426379247,0.0507855316039459
"2000-3","0140",NA,"September 30, 2000","CALGARY",15,10,1.5,0
"2000-4","0140","T2T","December 31, 2000","CALGARY",10,1,10,0
"2000-4","0140","T2E","December 31, 2000","CALGARY",1,1,1,0
"2000-4","0140","nan","December 31, 2000","CALGARY",6868,2678,2.56460044809559,0.0522778192681105
"2000-4","0140",NA,"December 31, 2000","CALGARY",9,9,1,0
"2001-1","0140","T2E","March 31, 2001","CALGARY",1,1,1,0
"2001-1","0140","nan","March 31, 2001","CALGARY",6137,2618,2.34415584415584,0.0427807486631016
"2001-1","0140",NA,"March 31, 2001","CALGARY",8,8,1,0
"2001-1","0140","T2T","March 31, 2001","CALGARY",10,1,10,0
"2001-2","0140","T2E","June 30, 2001","CALGARY",1,1,1,0
"2001-2","0140","T2T","June 30, 2001","CALGARY",10,1,10,0
"2001-2","0140","nan","June 30, 2001","CALGARY",6467,3099,2.08680219425621,0.0242013552758954
"2001-2","0140",NA,"June 30, 2001","CALGARY",10,10,1,0
"2001-3","0140","nan","September 30, 2001","CALGARY",6523,3417,1.90898448931812,0.0158033362598771
"2001-3","0140",NA,"September 30, 2001","CALGARY",10,10,1,0
"2001-3","0140","T2E","September 30, 2001","CALGARY",1,1,1,0
"2001-3","0140","T2T","September 30, 2001","CALGARY",10,1,10,0
"2001-4","0140",NA,"December 31, 2001","CALGARY",8,8,1,0
"2001-4","0140","nan","December 31, 2001","CALGARY",7145,3427,2.08491391887949,0.0166326232856726
"2001-4","0140","T2E","December 31, 2001","CALGARY",1,1,1,0
"2001-4","0140","T2T","December 31, 2001","CALGARY",10,1,10,0
"2002-1","0140",NA,"March 31, 2002","CALGARY",8,8,1,0
"2002-1","0140","T2E","March 31, 2002","CALGARY",1,1,1,0
"2002-1","0140","T2T","March 31, 2002","CALGARY",10,1,10,0
"2002-1","0140","nan","March 31, 2002","CALGARY",7003,3482,2.01120045950603,0.00947731188971855
"2002-2","0140","T2E","June 30, 2002","CALGARY",1,1,1,0
"2002-2","0140","T2T","June 30, 2002","CALGARY",10,1,10,0
"2002-2","0140",NA,"June 30, 2002","CALGARY",3,3,1,0
"2002-2","0140","nan","June 30, 2002","CALGARY",7969,4280,1.86191588785047,0.00467289719626168
"2002-3","0140",NA,"September 30, 2002","CALGARY",5,5,1,0
"2002-3","0140","T2N","September 30, 2002","CALGARY",1,1,1,0
"2002-3","0140","T2E","September 30, 2002","CALGARY",1,1,1,0
"2002-3","0140","nan","September 30, 2002","CALGARY",8422,4479,1.88033043089975,0.00156284885018977
"2002-4","0140","nan","December 31, 2002","CALGARY",8654,4467,1.93731811058876,0.000671591672263264
"2002-4","0140","T2N","December 31, 2002","CALGARY",1,1,1,0
"2002-4","0140","T2V","December 31, 2002","CALGARY",1,1,1,0
"2002-4","0140","T2E","December 31, 2002","CALGARY",1,1,1,0
"2002-4","0140",NA,"December 31, 2002","CALGARY",4,4,1,0
"2003-1","0140","nan","March 31, 2003","CALGARY",9144,4435,2.06178128523112,0.000676437429537768
"2003-1","0140","T2E","March 31, 2003","CALGARY",1,1,1,0
"2003-1","0140","T2N","March 31, 2003","CALGARY",1,1,1,0
"2003-1","0140","T2V","March 31, 2003","CALGARY",1,1,1,0
"2003-1","0140",NA,"March 31, 2003","CALGARY",1,1,1,0
"2003-2","0140","nan","June 30, 2003","CALGARY",9320,4621,2.01687946331963,0
"2003-2","0140",NA,"June 30, 2003","CALGARY",61,1,61,0
"2003-2","0140","T2E","June 30, 2003","CALGARY",9,2,4.5,0
"2003-2","0140","T2N","June 30, 2003","CALGARY",1,1,1,0
"2003-2","0140","T2T","June 30, 2003","CALGARY",3,2,1.5,0
"2003-2","0140","T2V","June 30, 2003","CALGARY",1,1,1,0
"2003-3","0140","nan","September 30, 2003","CALGARY",8655,4327,2.00023110700254,0
"2003-3","0140","T2S","September 30, 2003","CALGARY",1,1,1,0
"2003-3","0140","T2E","September 30, 2003","CALGARY",9,2,4.5,0
"2003-3","0140","T2V","September 30, 2003","CALGARY",1,1,1,0
"2003-3","0140",NA,"September 30, 2003","CALGARY",1,1,1,0
"2003-3","0140","T2T","September 30, 2003","CALGARY",3,2,1.5,0
"2003-3","0140","T2N","September 30, 2003","CALGARY",1,1,1,0
"2003-4","0140","T2V","December 31, 2003","CALGARY",1,1,1,0
"2003-4","0140","T2S","December 31, 2003","CALGARY",1,1,1,0
"2003-4","0140","T2N","December 31, 2003","CALGARY",1,1,1,0
"2003-4","0140","T2E","December 31, 2003","CALGARY",9,2,4.5,0
"2003-4","0140",NA,"December 31, 2003","CALGARY",5,3,1.66666666666667,0
"2003-4","0140","nan","December 31, 2003","CALGARY",8145,4025,2.02360248447205,0
"2003-4","0140","T2T","December 31, 2003","CALGARY",3,2,1.5,0
"2004-1","0140","nan","March 31, 2004","CALGARY",8386,4073,2.05892462558311,0
"2004-1","0140","T2Y","March 31, 2004","CALGARY",1,1,1,0
"2004-1","0140","T2E","March 31, 2004","CALGARY",9,2,4.5,0
"2004-1","0140","T2N","March 31, 2004","CALGARY",1,1,1,0
"2004-1","0140",NA,"March 31, 2004","CALGARY",5,3,1.66666666666667,0
"2004-1","0140","T2S","March 31, 2004","CALGARY",2,2,1,0
"2004-1","0140","T2V","March 31, 2004","CALGARY",1,1,1,0
"2004-1","0140","T2T","March 31, 2004","CALGARY",3,2,1.5,0
"2004-2","0140","T2V","June 30, 2004","CALGARY",1,1,1,0
"2004-2","0140","T2N","June 30, 2004","CALGARY",5,2,2.5,0
"2004-2","0140",NA,"June 30, 2004","CALGARY",1,1,1,0
"2004-2","0140","T2G","June 30, 2004","CALGARY",200,1,200,0
"2004-2","0140","T2T","June 30, 2004","CALGARY",14,4,3.5,0
"2004-2","0140","T2M","June 30, 2004","CALGARY",2,2,1,0
"2004-2","0140","nan","June 30, 2004","CALGARY",8548,4319,1.97916184301922,0
"2004-2","0140","T2S","June 30, 2004","CALGARY",3,3,1,0
"2004-2","0140","T3B","June 30, 2004","CALGARY",1,1,1,0
"2004-2","0140","T2E","June 30, 2004","CALGARY",102,3,34,0
"2004-2","0140","T2Y","June 30, 2004","CALGARY",1,1,1,0
"2004-2","0140","T2R","June 30, 2004","CALGARY",351,1,351,0
"2004-3","0140","T2S","September 30, 2004","CALGARY",3,3,1,0
"2004-3","0140","T2V","September 30, 2004","CALGARY",1,1,1,0
"2004-3","0140","T2B","September 30, 2004","CALGARY",8,2,4,0
"2004-3","0140","T3B","September 30, 2004","CALGARY",1,1,1,0
"2004-3","0140","T2Y","September 30, 2004","CALGARY",1,1,1,0
"2004-3","0140","T3H","September 30, 2004","CALGARY",1,1,1,0
"2004-3","0140","T2M","September 30, 2004","CALGARY",2,2,1,0
