"reference_period_qq","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","ref_qq","ref_yy","population","comp_per_10kpop"
"1990-3","0340","September 30, 1990","EDMONTON",1986,NA,NA,1665,1.19279279279279,0.0156156156156156,4.52912912912913,NA,NA,NA,NA
"1990-3","2270","September 30, 1990","TORONTO",5418,NA,NA,2914,1.85929993136582,0.0830473575840769,9.159231297186,"3","1990",4012389.86,13.5031743899383
"1990-3","1490","September 30, 1990","REGINA",157,NA,NA,136,1.15441176470588,0,9.03676470588235,"3","1990",195721.25,8.02161236963283
"1990-4","0340","December 31, 1990","EDMONTON",1698,NA,NA,1451,1.17022742935906,0.00758097863542385,4.77601654031702,NA,NA,NA,NA
"1990-4","2680","December 31, 1990","WINNIPEG",881,NA,NA,737,1.19538670284939,0.0108548168249661,5.08276797829037,"4","1990",676292.541,13.0269069461761
"1990-4","1700","December 31, 1990","SASKATOON",142,NA,NA,75,1.89333333333333,0.04,3.77333333333333,"4","1990",217086.473,6.5411721899411
"1990-4","0580","December 31, 1990",NA,782,NA,NA,468,1.67094017094017,0,4.60470085470085,NA,NA,NA,NA
"1990-4","1490","December 31, 1990","REGINA",142,NA,NA,104,1.36538461538462,0,4.13461538461539,"4","1990",195899.253,7.24862386279748
"1990-4","1400","December 31, 1990",NA,1181,NA,NA,741,1.59379217273954,0,2.47773279352227,"4","1990",667363.106,17.6965131782397
"1990-4","2270","December 31, 1990","TORONTO",6551,NA,NA,2573,2.54605518849592,0.07617567042363,10.1706179556937,"4","1990",4024230.39,16.2788890424338
"1990-4","2440","December 31, 1990","VICTORIA",684,NA,NA,254,2.69291338582677,0.062992125984252,4.94488188976378,"4","1990",295354.935,23.158576984671
"1990-4","1060","December 31, 1990",NA,5258,NA,NA,2910,1.80687285223368,0.0865979381443299,3.28316151202749,"4","1990",3408409.74,15.4265490392596
"1990-4","2410","December 31, 1990","VANCOUVER",4971,NA,NA,1910,2.60261780104712,0.151832460732984,6.14554973821989,"4","1990",1640691.86,30.298193836349
"1990-4","0140","December 31, 1990","CALGARY",1282,NA,NA,1228,1.04397394136808,0,4.13762214983713,NA,NA,NA,NA
"1990-4","1265","December 31, 1990",NA,1690,NA,NA,864,1.95601851851852,0.00462962962962963,4.92476851851852,"4","1990",716505.354,23.586704419797
"1990-4","0610","December 31, 1990",NA,670,NA,NA,327,2.04892966360856,0,5.63302752293578,NA,NA,NA,NA
"1991-1","1400","March 31, 1991",NA,432,NA,NA,331,1.30513595166163,0,2.73716012084592,"1","1991",669393.475,6.45360339074115
"1991-1","2440","March 31, 1991","VICTORIA",846,NA,NA,311,2.72025723472669,0.215434083601286,6.91639871382637,"1","1991",296633.076,28.5200831750806
"1991-1","2680","March 31, 1991","WINNIPEG",321,NA,NA,221,1.45248868778281,0.0452488687782805,6.04072398190045,"1","1991",677187.6,4.74019311635358
"1991-1","0140","March 31, 1991","CALGARY",1023,NA,NA,927,1.10355987055016,0.011866235167206,3.73247033441208,NA,NA,NA,NA
"1991-1","1265","March 31, 1991",NA,1324,NA,NA,514,2.57587548638132,0.0155642023346304,5.09143968871595,"1","1991",720155.1168,18.384928039992
"1991-1","1490","March 31, 1991","REGINA",143,NA,NA,50,2.86,0.16,4.7,"1","1991",196094.319,7.29240911869558
"1991-1","2270","March 31, 1991","TORONTO",7493,NA,NA,2542,2.94767899291896,0.131392604248623,8.77970102281668,"1","1991",4037479.8,18.5586067823794
"1991-1","0610","March 31, 1991","HAMILTON",304,NA,NA,163,1.86503067484663,0,5.14723926380368,NA,NA,NA,NA
"1991-1","1700","March 31, 1991","SASKATOON",71,NA,NA,34,2.08823529411765,0,4.29411764705882,"1","1991",217540.041,3.26376696784754
"1991-1","1060","March 31, 1991",NA,2898,NA,NA,1295,2.23783783783784,0.130501930501931,4.81621621621622,"1","1991",3413205.43,8.49055253026478
"1991-1","2410","March 31, 1991","VANCOUVER",3664,NA,NA,1524,2.40419947506562,0.115485564304462,6.21522309711286,"1","1991",1650895.47,22.1940157119699
"1991-1","0340","March 31, 1991","EDMONTON",1110,NA,NA,891,1.24579124579125,0.00561167227833894,5.2334455667789,NA,NA,NA,NA
"1991-1","0580","March 31, 1991",NA,439,NA,NA,209,2.10047846889952,0.0143540669856459,3.99521531100478,NA,NA,NA,NA
"1991-2","1490","June 30, 1991","REGINA",32,NA,NA,29,1.10344827586207,0,13.8275862068966,"2","1991",196306.449,1.6301043680944
"1991-2","1700","June 30, 1991","SASKATOON",82,NA,NA,69,1.18840579710145,0.0144927536231884,4.33333333333333,"2","1991",218045.739,3.76067885463242
"1991-2","1060","June 30, 1991",NA,4000,NA,NA,1972,2.02839756592292,0.218052738336714,2.57606490872211,"2","1991",3417509.38,11.7044302011543
"1991-2","0340","June 30, 1991","EDMONTON",878,NA,NA,595,1.47563025210084,0.0336134453781513,4.70756302521008,NA,NA,NA,NA
"1991-2","2440","June 30, 1991",NA,521,NA,NA,328,1.58841463414634,0.0701219512195122,8.92073170731707,"2","1991",297889.12,17.4897290642908
"1991-2","2410","June 30, 1991","VANCOUVER",3807,NA,NA,1527,2.49312377210216,0.223313686967911,5.41322855271775,"2","1991",1661384.17,22.9146278671958
"1991-2","0140","June 30, 1991","CALGARY",1189,NA,NA,924,1.28679653679654,0.00324675324675325,2.69588744588745,NA,NA,NA,NA
"1991-2","0610","June 30, 1991",NA,773,NA,NA,185,4.17837837837838,0,6.77297297297297,NA,NA,NA,NA
"1991-2","2270","June 30, 1991",NA,5676,NA,NA,1728,3.28472222222222,0.157407407407407,9.88368055555556,"2","1991",4052138.08,14.0074200038119
"1991-2","1265","June 30, 1991",NA,604,NA,NA,244,2.47540983606557,0,5.42213114754098,"2","1991",723723.69,8.34572652996892
"1991-2","2680","June 30, 1991","WINNIPEG",230,NA,NA,191,1.20418848167539,0.0157068062827225,6.56020942408377,"2","1991",677848.623,3.39308795792892
"1991-2","1400","June 30, 1991",NA,2020,NA,NA,948,2.13080168776371,0.00316455696202532,2.7373417721519,"2","1991",671199.925,30.0953549719184
"1991-2","0580","June 30, 1991",NA,656,NA,NA,177,3.70621468926554,0.0169491525423729,3.94915254237288,NA,NA,NA,NA
"1991-3","2410","September 30, 1991","VANCOUVER",3435,NA,NA,1844,1.86279826464208,0.112798264642082,4.81073752711497,"3","1991",1672759.33,20.5349325416705
"1991-3","0580","September 30, 1991",NA,706,NA,NA,253,2.79051383399209,0.0118577075098814,2.84189723320158,NA,NA,NA,NA
"1991-3","1490","September 30, 1991","REGINA",63,NA,NA,51,1.23529411764706,0.0588235294117647,4.64705882352941,"3","1991",196524.938,3.20570003181988
