"","ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","population","comp_per_10kpop"
"94","1989","2440",4,1,"June 30, 1989","VICTORIA",8,NA,NA,1,8,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"289992.005",0.275869674407058
"95","1989","2680",1,1,"September 30, 1989","WINNIPEG",2345,NA,NA,2345,1,0,5.92311583206879,0.149381135296628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"670512.153",34.9732661743418
"96","1989","2680",2,1,"September 30, 1989","WINNIPEG",36,NA,NA,18,2,0,6.82352941176471,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"670512.153",0.536903020160471
"97","1989","2680",5,3,"March 31, 1989","WINNIPEG",347,NA,NA,9,38.5555555555556,2.11111111111111,10.6666666666667,0.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"670512.153",5.17514855543565
"98","1990","0140",1,3,"June 30, 1990","CALGARY",2,NA,NA,2,1,0,4.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"764404.198",0.0261641681878885
"99","1990","0140",2,3,"December 31, 1990","CALGARY",148,NA,NA,74,2,0,5.90769230769231,-1.47297297297297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"764404.198",1.93614844590375
"100","1990","0340",2,1,"March 31, 1990","EDMONTON",140,NA,NA,70,2,0,5.88524590163934,0.471428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"855178.476",1.63708516910802
"101","1990","0340",4,1,"December 31, 1990","EDMONTON",93,NA,NA,21,4.42857142857143,0,6.57142857142857,2.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"855178.476",1.08749229090747
"102","1990","0340",5,3,"September 30, 1990","EDMONTON",328,NA,NA,7,46.8571428571429,4.57142857142857,9.28571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"855178.476",3.83545668191022
"103","1990","0580",2,1,"March 31, 1990","HALIFAX",254,NA,NA,127,2,0,4.65625,0.196850393700787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"336873.735",7.53991699590352
"104","1990","0580",4,2,"June 30, 1990",NA,41,NA,NA,3,13.6666666666667,0,11.3333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"336873.735",1.21707321587419
"105","1990","0610",1,3,"September 30, 1990",NA,32,NA,NA,32,1,0,3.5625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"619584.027",0.516475548198727
"106","1990","0610",2,1,"March 31, 1990",NA,20,NA,NA,10,2,0,11.4444444444444,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"619584.027",0.322797217624204
"107","1990","0610",2,3,"June 30, 1990","HAMILTON",8,NA,NA,4,2,0,7.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"619584.027",0.129118887049682
"108","1990","0610",5,1,"March 31, 1990",NA,3,NA,NA,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"619584.027",0.0484195826436307
"109","1990","0610",5,3,"December 31, 1990",NA,265,NA,NA,6,44.1666666666667,0,13.5,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"619584.027",4.27706313352071
