"","ref_yy","CSDuid","dweltype","mkttycd","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"152","1988","2462310",1,1,"December 31, 1988","1060",NA,NA,51,73,0.698630136986301,0,4,"3351700.63",0.152161561040134
"153","1988","2462510",1,1,"December 31, 1988","1060",NA,NA,18,52,0.346153846153846,0,4,"3351700.63",0.0537040803671061
"154","1988","2463110",1,1,"December 31, 1988","1060",NA,NA,34,50,0.68,0,4,"3351700.63",0.101441040693423
"155","1988","2463130",1,1,"December 31, 1988","1060",NA,NA,35,54,0.648148148148148,0,4,"3351700.63",0.104424600713817
"156","1988","2463130",2,3,"December 31, 1988","1060",NA,NA,2,1,2,0,4,"3351700.63",0.00596712004078956
"157","1988","2463130",4,1,"December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"158","1988","2463130",5,3,"December 31, 1988","1060",NA,NA,3,1,3,0,4,"3351700.63",0.00895068006118434
"159","1988","2463150",1,1,"December 31, 1988","1060",NA,NA,26,44,0.590909090909091,0,4,"3351700.63",0.0775725605302643
"160","1988","2463150",2,1,"December 31, 1988","1060",NA,NA,7,5,1.4,0,4,"3351700.63",0.0208849201427635
"161","1988","2463150",4,1,"December 31, 1988","1060",NA,NA,11,4,2.75,0,4,"3351700.63",0.0328191602243426
"162","1988","2463150",5,1,"December 31, 1988","1060",NA,NA,1,1,1,2,4,"3351700.63",0.00298356002039478
"163","1988","2463150",5,3,"December 31, 1988","1060",NA,NA,18,2,9,0,4,"3351700.63",0.0537040803671061
"164","1988","2463170",1,1,"December 31, 1988","1060",NA,NA,16,19,0.842105263157895,0,4,"3351700.63",0.0477369603263165
"165","1988","2463190",1,1,"December 31, 1988","1060",NA,NA,62,90,0.688888888888889,0,4,"3351700.63",0.184980721264476
"166","1988","2463190",2,1,"December 31, 1988","1060",NA,NA,10,6,1.66666666666667,0,4,"3351700.63",0.0298356002039478
"167","1988","2463190",4,1,"December 31, 1988","1060",NA,NA,5,2,2.5,0,4,"3351700.63",0.0149178001019739
"168","1988","2463200",1,1,"December 31, 1988","1060",NA,NA,7,11,0.636363636363636,0,4,"3351700.63",0.0208849201427635
"169","1988","2463220",1,1,"December 31, 1988","1060",NA,NA,54,76,0.710526315789474,0,4,"3351700.63",0.161112241101318
"170","1988","2463220",2,1,"December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"171","1988","2463220",5,3,"December 31, 1988","1060",NA,NA,16,1,16,0,4,"3351700.63",0.0477369603263165
"172","1988","2463250",1,1,"December 31, 1988","1060",NA,NA,14,14,1,0,4,"3351700.63",0.0417698402855269
"173","1988","2464500",1,1,"December 31, 1988","1060",NA,NA,212,291,0.728522336769759,0,4,"3351700.63",0.632514724323694
"174","1988","2464500",2,1,"December 31, 1988","1060",NA,NA,70,51,1.37254901960784,0,4,"3351700.63",0.208849201427635
"175","1988","2464500",4,3,"December 31, 1988","1060",NA,NA,5,1,5,0,4,"3351700.63",0.0149178001019739
"176","1988","2464500",5,3,"December 31, 1988","1060",NA,NA,193,44,4.38636363636364,0,4,"3351700.63",0.575827083936193
"177","1988","2465180",2,1,"December 31, 1988","1060",NA,NA,4,2,2,0,4,"3351700.63",0.0119342400815791
"178","1988","2465180",4,1,"December 31, 1988","1060",NA,NA,13,3,4.33333333333333,0,4,"3351700.63",0.0387862802651322
"179","1988","2465180",5,3,"December 31, 1988","1060",NA,NA,29,6,4.83333333333333,4.16666666666667,4,"3351700.63",0.0865232405914486
"180","1988","2465200",1,1,"December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"181","1988","2465200",2,1,"December 31, 1988","1060",NA,NA,2,2,1,0,4,"3351700.63",0.00596712004078956
"182","1988","2465220",5,3,"December 31, 1988","1060",NA,NA,8,3,2.66666666666667,0,4,"3351700.63",0.0238684801631582
"183","1988","2465260",1,1,"December 31, 1988","1060",NA,NA,46,50,0.92,0,4,"3351700.63",0.13724376093816
"184","1988","2465260",2,1,"December 31, 1988","1060",NA,NA,79,54,1.46296296296296,0,4,"3351700.63",0.235701241611188
"185","1988","2465260",4,1,"December 31, 1988","1060",NA,NA,21,8,2.625,0,4,"3351700.63",0.0626547604282904
"186","1988","2465260",4,3,"December 31, 1988","1060",NA,NA,89,7,12.7142857142857,0,4,"3351700.63",0.265536841815136
"187","1988","2465260",5,1,"December 31, 1988","1060",NA,NA,3,1,3,3,4,"3351700.63",0.00895068006118434
"188","1988","2465260",5,3,"December 31, 1988","1060",NA,NA,438,88,4.97727272727273,2.07954545454545,4,"3351700.63",1.30679928893291
"189","1988","2465280",2,1,"December 31, 1988","1060",NA,NA,2,1,2,0,4,"3351700.63",0.00596712004078956
"190","1988","2465280",5,3,"December 31, 1988","1060",NA,NA,5,1,5,0,4,"3351700.63",0.0149178001019739
"191","1988","2465300",1,1,"December 31, 1988","1060",NA,NA,0,1,0,0,4,"3351700.63",0
"192","1988","2465300",5,3,"December 31, 1988","1060",NA,NA,52,2,26,7.5,4,"3351700.63",0.155145121060529
"193","1988","2465320",5,3,"December 31, 1988","1060",NA,NA,92,16,5.75,5.625,4,"3351700.63",0.27448752187632
"194","1988","2465340",2,1,"December 31, 1988","1060",NA,NA,18,11,1.63636363636364,0,4,"3351700.63",0.0537040803671061
"195","1988","2465340",5,3,"December 31, 1988","1060",NA,NA,22,7,3.14285714285714,1.28571428571429,4,"3351700.63",0.0656383204486852
"196","1988","2465420",2,1,"December 31, 1988","1060",NA,NA,14,11,1.27272727272727,0,4,"3351700.63",0.0417698402855269
"197","1988","2465420",2,3,"December 31, 1988","1060",NA,NA,2,1,2,0,4,"3351700.63",0.00596712004078956
"198","1988","2465420",4,1,"December 31, 1988","1060",NA,NA,27,10,2.7,0,4,"3351700.63",0.0805561205506591
"199","1988","2465420",5,3,"December 31, 1988","1060",NA,NA,37,9,4.11111111111111,1.66666666666667,4,"3351700.63",0.110391720754607
"200","1988","2465440",1,1,"December 31, 1988","1060",NA,NA,6,6,1,0,4,"3351700.63",0.0179013601223687
