"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","inventory_per_10kpop"
"1988","4602075","December 31, 1988","2680","WINNIPEG","RITCHOT RM",0,2,0,0,2101,4,"Winnipeg",665928.947,602,0
"1988","4611040","December 31, 1988","2680","WINNIPEG","WINNIPEG CY",247,345,0.715942028985507,0.188405797101449,2101,4,"Winnipeg",665928.947,602,3.70910441891333
"1988","4612047","December 31, 1988","2680","WINNIPEG","SPRINGFIELD RM",1,13,0.0769230769230769,0,2101,4,"Winnipeg",665928.947,602,0.0150166170806208
"1988","4613032","December 31, 1988","2680","WINNIPEG","EAST ST. PAUL RM",0,9,0,0,2101,4,"Winnipeg",665928.947,602,0
"1988","4613037","December 31, 1988","2680","WINNIPEG","WEST ST. PAUL RM",0,5,0,0,2101,4,"Winnipeg",665928.947,602,0
"1988","4706023","December 31, 1988","1490","REGINA","PENSE T",0,1,0,0,1057,4,"Regina",195585.119,705,0
"1988","4706027","December 31, 1988","1490","REGINA","REGINA CY",121,123,0.983739837398374,0.170731707317073,1057,4,"Regina",195585.119,705,6.18656473553082
"1988","4706030","December 31, 1988","1490","REGINA","WHITE CITY T",0,4,0,0,1057,4,"Regina",195585.119,705,0
"1988","4706032","December 31, 1988","1490","REGINA","BALGONIE T",0,1,0,0,1057,4,"Regina",195585.119,705,0
"1988","4711065","December 31, 1988","1700","SASKATOON","CORMAN PARK NO. 344 RM",2,7,0.285714285714286,0,1231,4,"Saskatoon",216113.54,725,0.0925439470382096
"1988","4711066","December 31, 1988","1700","SASKATOON","SASKATOON CY",227,201,1.12935323383085,0.104477611940299,1231,4,"Saskatoon",216113.54,725,10.5037379888368
"1988","4711068","December 31, 1988","1700","SASKATOON","WARMAN CY",0,2,0,0,1231,4,"Saskatoon",216113.54,725,0
"1988","4711070","December 31, 1988","1700","SASKATOON","MARTENSVILLE CY",1,2,0.5,0,1231,4,"Saskatoon",216113.54,725,0.0462719735191048
"1988","4712054","December 31, 1988","1700","SASKATOON","VANSCOY NO. 345 RM",0,1,0,0,1231,4,"Saskatoon",216113.54,725,0
"1988","4806014","December 31, 1988","0140","CALGARY","ROCKY VIEW COUNTY MD",0,19,0,0,13,4,"Calgary",724449.865,825,0
"1988","4806016","December 31, 1988","0140","CALGARY","CALGARY CY",118,355,0.332394366197183,0.0788732394366197,13,4,"Calgary",724449.865,825,1.62882216839118
"1988","4806019","December 31, 1988","0140","CALGARY","COCHRANE T",0,9,0,0,13,4,"Calgary",724449.865,825,0
"1988","4806021","December 31, 1988","0140","CALGARY","AIRDRIE CY",0,15,0,0,13,4,"Calgary",724449.865,825,0
"1988","4806026","December 31, 1988","0140","CALGARY","CROSSFIELD T",0,2,0,0,13,4,"Calgary",724449.865,825,0
"1988","4811012","December 31, 1988","0340","EDMONTON","LEDUC COUNTY MD",0,6,0,0,187,4,"Edmonton",821466.779,835,0
"1988","4811013","December 31, 1988","0340","EDMONTON","BEAUMONT CY",1,3,0.333333333333333,0,187,4,"Edmonton",821466.779,835,0.0121733468177171
"1988","4811016","December 31, 1988","0340","EDMONTON","LEDUC CY",4,5,0.8,0,187,4,"Edmonton",821466.779,835,0.0486933872708686
"1988","4811018","December 31, 1988","0340","EDMONTON","DEVON T",0,2,0,0,187,4,"Edmonton",821466.779,835,0
"1988","4811019","December 31, 1988","0340","EDMONTON","CALMAR T",1,3,0.333333333333333,0,187,4,"Edmonton",821466.779,835,0.0121733468177171
"1988","4811026","December 31, 1988","0340",NA,NA,0,1,0,0,187,4,"Edmonton",821466.779,835,0
"1988","4811031","December 31, 1988","0340",NA,NA,1,7,0.142857142857143,0,187,4,"Edmonton",821466.779,835,0.0121733468177171
