"ref_yy","metcode","censustr","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0140","0205.00","December 31, 2006","CALGARY","825",12,25,0.48,0,"8250205.00"
"2006","0140","0206.01","December 31, 2006","CALGARY","825",24,57,0.421052631578947,0,"8250206.01"
"2006","0140","0206.03","December 31, 2006","CALGARY","825",24,53,0.452830188679245,0,"8250206.03"
"2006","0140","0207.00","December 31, 2006","CALGARY","825",15,24,0.625,0,"8250207.00"
"2006","0340","0000.00","December 31, 2006","EDMONTON","835",8,8,1,0,"8350000.00"
"2006","0340","0001.07","December 31, 2006","EDMONTON","835",1,1,1,0,"8350001.07"
"2006","0340","0005.04","December 31, 2006","EDMONTON","835",13,18,0.722222222222222,0,"8350005.04"
"2006","0340","0005.05","December 31, 2006","EDMONTON","835",4,11,0.363636363636364,0,"8350005.05"
"2006","0340","0006.12","December 31, 2006","EDMONTON","835",1,2,0.5,0,"8350006.12"
"2006","0340","0007.02","December 31, 2006","EDMONTON","835",2,3,0.666666666666667,0,"8350007.02"
"2006","0340","0013.00","December 31, 2006","EDMONTON","835",0,2,0,0,"8350013.00"
"2006","0340","0014.00","December 31, 2006","EDMONTON","835",0,1,0,0,"8350014.00"
"2006","0340","0016.02","December 31, 2006","EDMONTON","835",12,1,12,4,"8350016.02"
"2006","0340","0017.00","December 31, 2006","EDMONTON","835",2,3,0.666666666666667,0,"8350017.00"
"2006","0340","0021.00","December 31, 2006","EDMONTON","835",1,1,1,21,"8350021.00"
"2006","0340","0024.00","December 31, 2006","EDMONTON","835",0,1,0,0,"8350024.00"
"2006","0340","0028.00","December 31, 2006","EDMONTON","835",1,1,1,0,"8350028.00"
"2006","0340","0029.00","December 31, 2006","EDMONTON","835",1,1,1,0,"8350029.00"
"2006","0340","0031.00","December 31, 2006","EDMONTON","835",0,1,0,0,"8350031.00"
"2006","0340","0032.01","December 31, 2006","EDMONTON","835",3,1,3,12,"8350032.01"
"2006","0340","0034.00","December 31, 2006","EDMONTON","835",9,3,3,0,"8350034.00"
"2006","0340","0048.00","December 31, 2006","EDMONTON","835",2,1,2,0,"8350048.00"
"2006","0340","0056.00","December 31, 2006","EDMONTON","835",0,1,0,0,"8350056.00"
"2006","0340","0073.00","December 31, 2006","EDMONTON","835",1,1,1,0,"8350073.00"
"2006","0340","0075.03","December 31, 2006","EDMONTON","835",1,1,1,0,"8350075.03"
"2006","0340","0075.06","December 31, 2006","EDMONTON","835",2,3,0.666666666666667,0,"8350075.06"
"2006","0340","0075.08","December 31, 2006","EDMONTON","835",1,1,1,0,"8350075.08"
"2006","0340","0075.10","December 31, 2006","EDMONTON","835",3,3,1,0,"8350075.10"
"2006","0340","0078.01","December 31, 2006","EDMONTON","835",6,10,0.6,0,"8350078.01"
"2006","0340","0078.10","December 31, 2006","EDMONTON","835",11,25,0.44,0,"8350078.10"
"2006","0340","0078.11","December 31, 2006","EDMONTON","835",7,26,0.269230769230769,0,"8350078.11"
"2006","0340","0079.00","December 31, 2006","EDMONTON","835",38,72,0.527777777777778,0,"8350079.00"
"2006","0340","0090.20","December 31, 2006","EDMONTON","835",1,1,1,0,"8350090.20"
"2006","0340","0100.00","December 31, 2006","EDMONTON","835",2,2,1,0,"8350100.00"
"2006","0340","0101.02","December 31, 2006","EDMONTON","835",1,1,1,0,"8350101.02"
"2006","0340","0103.00","December 31, 2006","EDMONTON","835",4,4,1,0,"8350103.00"
"2006","0340","0104.02","December 31, 2006","EDMONTON","835",2,4,0.5,0,"8350104.02"
"2006","0340","0104.04","December 31, 2006","EDMONTON","835",11,31,0.354838709677419,0,"8350104.04"
"2006","0340","0104.05","December 31, 2006","EDMONTON","835",30,67,0.447761194029851,0,"8350104.05"
"2006","0340","0104.06","December 31, 2006","EDMONTON","835",88,154,0.571428571428571,0,"8350104.06"
"2006","0340","0104.07","December 31, 2006","EDMONTON","835",96,165,0.581818181818182,0.0121212121212121,"8350104.07"
"2006","0340","0105.01","December 31, 2006","EDMONTON","835",1,5,0.2,0,"8350105.01"
"2006","0340","0105.03","December 31, 2006","EDMONTON","835",0,1,0,0,"8350105.03"
"2006","0340","0105.04","December 31, 2006","EDMONTON","835",0,4,0,0,"8350105.04"
"2006","0340","0106.00","December 31, 2006","EDMONTON","835",83,55,1.50909090909091,0.0727272727272727,"8350106.00"
"2006","0340","0120.06","December 31, 2006","EDMONTON","835",27,35,0.771428571428571,0,"8350120.06"
"2006","0340","0121.04","December 31, 2006","EDMONTON","835",5,8,0.625,0,"8350121.04"
"2006","0340","0121.05","December 31, 2006","EDMONTON","835",38,68,0.558823529411765,0,"8350121.05"
"2006","0340","0140.01","December 31, 2006","EDMONTON","835",55,91,0.604395604395604,0,"8350140.01"
"2006","0340","0140.03","December 31, 2006","EDMONTON","835",10,18,0.555555555555556,0,"8350140.03"
"2006","0340","0140.04","December 31, 2006","EDMONTON","835",0,5,0,0,"8350140.04"
"2006","0340","0141.00","December 31, 2006","EDMONTON","835",0,1,0,0,"8350141.00"
"2006","0340","0142.01","December 31, 2006","EDMONTON","835",0,6,0,0,"8350142.01"
"2006","0340","0142.02","December 31, 2006","EDMONTON","835",0,3,0,0,"8350142.02"
"2006","0340","0142.03","December 31, 2006","EDMONTON","835",4,13,0.307692307692308,0,"8350142.03"
"2006","0340","0142.04","December 31, 2006","EDMONTON","835",0,7,0,0,"8350142.04"
"2006","0340","0150.00","December 31, 2006","EDMONTON","835",0,1,0,0,"8350150.00"
"2006","0340","0151.00","December 31, 2006","EDMONTON","835",25,28,0.892857142857143,0,"8350151.00"
"2006","0340","0152.00","December 31, 2006","EDMONTON","835",1,3,0.333333333333333,0,"8350152.00"
"2006","0340","0153.00","December 31, 2006","EDMONTON","835",25,67,0.373134328358209,0,"8350153.00"
"2006","0340","0154.00","December 31, 2006","EDMONTON","835",8,16,0.5,0,"8350154.00"
"2006","0340","0155.00","December 31, 2006","EDMONTON","835",0,5,0,0,"8350155.00"
"2006","0340","0156.00","December 31, 2006","EDMONTON","835",2,2,1,0,"8350156.00"
"2006","0340","0157.00","December 31, 2006","EDMONTON","835",0,5,0,0,"8350157.00"
"2006","0340","0160.02","December 31, 2006","EDMONTON","835",0,2,0,0,"8350160.02"
"2006","0340","0161.00","December 31, 2006","EDMONTON","835",7,26,0.269230769230769,0,"8350161.00"
