"ref_yy","metcode","censustr","dweltype","mkttycd","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0340","%07.2f106.0",5,3,"December 31, 2006","EDMONTON","835",53,3,17.6666666666667,1.33333333333333,"835%07.2f106.0"
"2006","0340","%07.2f120.05999999999999",1,1,"December 31, 2006","EDMONTON","835",22,30,0.733333333333333,0,"835%07.2f120.05999999999999"
"2006","0340","%07.2f120.05999999999999",2,3,"December 31, 2006","EDMONTON","835",5,5,1,0,"835%07.2f120.05999999999999"
"2006","0340","%07.2f121.03999999999999",1,1,"December 31, 2006","EDMONTON","835",5,8,0.625,0,"835%07.2f121.03999999999999"
"2006","0340","%07.2f121.05",1,1,"December 31, 2006","EDMONTON","835",31,62,0.5,0,"835%07.2f121.05"
"2006","0340","%07.2f121.05",2,1,"December 31, 2006","EDMONTON","835",2,2,1,0,"835%07.2f121.05"
"2006","0340","%07.2f121.05",2,3,"December 31, 2006","EDMONTON","835",5,4,1.25,0,"835%07.2f121.05"
"2006","0340","%07.2f140.01",1,1,"December 31, 2006","EDMONTON","835",54,89,0.606741573033708,0,"835%07.2f140.01"
"2006","0340","%07.2f140.01",2,1,"December 31, 2006","EDMONTON","835",1,2,0.5,0,"835%07.2f140.01"
"2006","0340","%07.2f140.02999999999997",1,1,"December 31, 2006","EDMONTON","835",7,14,0.5,0,"835%07.2f140.02999999999997"
"2006","0340","%07.2f140.02999999999997",2,3,"December 31, 2006","EDMONTON","835",3,4,0.75,0,"835%07.2f140.02999999999997"
"2006","0340","%07.2f140.04",1,1,"December 31, 2006","EDMONTON","835",0,5,0,0,"835%07.2f140.04"
"2006","0340","%07.2f141.0",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f141.0"
"2006","0340","%07.2f142.01",1,1,"December 31, 2006","EDMONTON","835",0,6,0,0,"835%07.2f142.01"
"2006","0340","%07.2f142.01999999999998",1,1,"December 31, 2006","EDMONTON","835",0,3,0,0,"835%07.2f142.01999999999998"
"2006","0340","%07.2f142.02999999999997",1,1,"December 31, 2006","EDMONTON","835",4,10,0.4,0,"835%07.2f142.02999999999997"
"2006","0340","%07.2f142.02999999999997",2,3,"December 31, 2006","EDMONTON","835",0,3,0,0,"835%07.2f142.02999999999997"
"2006","0340","%07.2f142.04",1,1,"December 31, 2006","EDMONTON","835",0,7,0,0,"835%07.2f142.04"
"2006","0340","%07.2f150.0",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f150.0"
"2006","0340","%07.2f151.0",1,1,"December 31, 2006","EDMONTON","835",20,25,0.8,0,"835%07.2f151.0"
"2006","0340","%07.2f151.0",2,1,"December 31, 2006","EDMONTON","835",4,2,2,0,"835%07.2f151.0"
"2006","0340","%07.2f151.0",2,3,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f151.0"
"2006","0340","%07.2f152.0",1,1,"December 31, 2006","EDMONTON","835",1,3,0.333333333333333,0,"835%07.2f152.0"
"2006","0340","%07.2f153.0",1,1,"December 31, 2006","EDMONTON","835",18,54,0.333333333333333,0,"835%07.2f153.0"
"2006","0340","%07.2f153.0",2,1,"December 31, 2006","EDMONTON","835",7,13,0.538461538461538,0,"835%07.2f153.0"
"2006","0340","%07.2f154.0",1,1,"December 31, 2006","EDMONTON","835",5,15,0.333333333333333,0,"835%07.2f154.0"
"2006","0340","%07.2f154.0",5,3,"December 31, 2006","EDMONTON","835",3,1,3,0,"835%07.2f154.0"
"2006","0340","%07.2f155.0",1,1,"December 31, 2006","EDMONTON","835",0,5,0,0,"835%07.2f155.0"
"2006","0340","%07.2f156.0",1,1,"December 31, 2006","EDMONTON","835",2,2,1,0,"835%07.2f156.0"
"2006","0340","%07.2f157.0",1,1,"December 31, 2006","EDMONTON","835",0,4,0,0,"835%07.2f157.0"
"2006","0340","%07.2f157.0",2,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f157.0"
"2006","0340","%07.2f160.01999999999998",1,1,"December 31, 2006","EDMONTON","835",0,2,0,0,"835%07.2f160.01999999999998"
"2006","0340","%07.2f161.0",1,1,"December 31, 2006","EDMONTON","835",5,24,0.208333333333333,0,"835%07.2f161.0"
"2006","0340","%07.2f161.0",2,1,"December 31, 2006","EDMONTON","835",2,2,1,0,"835%07.2f161.0"
"2006","0340","%07.2f162.01999999999998",1,1,"December 31, 2006","EDMONTON","835",8,18,0.444444444444444,0,"835%07.2f162.01999999999998"
"2006","0340","%07.2f162.01999999999998",2,1,"December 31, 2006","EDMONTON","835",2,1,2,0,"835%07.2f162.01999999999998"
"2006","0340","%07.2f162.01999999999998",5,3,"December 31, 2006","EDMONTON","835",17,1,17,0,"835%07.2f162.01999999999998"
"2006","0340","%07.2f163.02999999999997",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f163.02999999999997"
"2006","0340","%07.2f163.04",1,1,"December 31, 2006","EDMONTON","835",13,25,0.52,0,"835%07.2f163.04"
"2006","0340","%07.2f163.04",2,1,"December 31, 2006","EDMONTON","835",4,5,0.8,0,"835%07.2f163.04"
"2006","0340","%07.2f163.04",5,3,"December 31, 2006","EDMONTON","835",2,1,2,0,"835%07.2f163.04"
"2006","0340","%07.2f164.0",1,1,"December 31, 2006","EDMONTON","835",4,17,0.235294117647059,0,"835%07.2f164.0"
"2006","0340","%07.2f165.01",1,1,"December 31, 2006","EDMONTON","835",0,2,0,0,"835%07.2f165.01"
"2006","0340","%07.2f165.01999999999998",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f165.01999999999998"
"2006","0340","%07.2f165.01999999999998",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f165.01999999999998"
"2006","0340","%07.2f166.0",1,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f166.0"
"2006","0580","%07.2f1.0",1,1,"December 31, 2006","HALIFAX","205",0,2,0,0,"205%07.2f1.0"
"2006","0580","%07.2f1.0",2,1,"December 31, 2006","HALIFAX","205",1,2,0.5,0,"205%07.2f1.0"
"2006","0580","%07.2f2.0",1,1,"December 31, 2006","HALIFAX","205",1,2,0.5,0,"205%07.2f2.0"
"2006","0580","%07.2f14.0",2,1,"December 31, 2006","HALIFAX","205",3,2,1.5,0,"205%07.2f14.0"
"2006","0580","%07.2f15.0",2,1,"December 31, 2006","HALIFAX","205",0,1,0,0,"205%07.2f15.0"
"2006","0580","%07.2f16.0",1,1,"December 31, 2006","HALIFAX","205",1,3,0.333333333333333,0,"205%07.2f16.0"
"2006","0580","%07.2f17.0",1,1,"December 31, 2006","HALIFAX","205",1,2,0.5,0,"205%07.2f17.0"
"2006","0580","%07.2f19.0",1,1,"December 31, 2006","HALIFAX","205",3,3,1,0,"205%07.2f19.0"
"2006","0580","%07.2f27.0",1,1,"December 31, 2006","HALIFAX","205",3,5,0.6,0,"205%07.2f27.0"
"2006","0580","%07.2f27.0",2,1,"December 31, 2006","HALIFAX","205",2,1,2,0,"205%07.2f27.0"
"2006","0580","%07.2f27.0",5,3,"December 31, 2006","HALIFAX","205",99,2,49.5,0,"205%07.2f27.0"
"2006","0580","%07.2f104.02",1,1,"December 31, 2006","HALIFAX","205",0,4,0,0,"205%07.2f104.02"
"2006","0580","%07.2f106.00999999999999",1,1,"December 31, 2006","HALIFAX","205",0,1,0,0,"205%07.2f106.00999999999999"
"2006","0580","%07.2f106.02",1,1,"December 31, 2006","HALIFAX","205",1,20,0.05,0,"205%07.2f106.02"
"2006","0580","%07.2f121.02999999999999",1,1,"December 31, 2006","HALIFAX","205",0,2,0,0,"205%07.2f121.02999999999999"
"2006","0580","%07.2f121.05999999999999",1,1,"December 31, 2006","HALIFAX","205",1,5,0.2,0,"205%07.2f121.05999999999999"
"2006","0580","%07.2f121.07",1,1,"December 31, 2006","HALIFAX","205",0,5,0,0,"205%07.2f121.07"
"2006","0580","%07.2f123.00999999999999",1,1,"December 31, 2006","HALIFAX","205",4,14,0.285714285714286,0,"205%07.2f123.00999999999999"
"2006","0580","%07.2f123.02",1,1,"December 31, 2006","HALIFAX","205",0,1,0,0,"205%07.2f123.02"
"2006","0580","%07.2f123.03999999999999",1,1,"December 31, 2006","HALIFAX","205",2,5,0.4,0,"205%07.2f123.03999999999999"
"2006","0580","%07.2f123.03999999999999",5,3,"December 31, 2006","HALIFAX","205",25,1,25,0,"205%07.2f123.03999999999999"
"2006","0580","%07.2f123.05",1,1,"December 31, 2006","HALIFAX","205",6,7,0.857142857142857,0,"205%07.2f123.05"
"2006","0580","%07.2f130.01",1,1,"December 31, 2006","HALIFAX","205",3,6,0.5,0,"205%07.2f130.01"
"2006","0580","%07.2f130.01999999999998",1,1,"December 31, 2006","HALIFAX","205",1,2,0.5,0,"205%07.2f130.01999999999998"
"2006","0580","%07.2f131.02999999999997",1,1,"December 31, 2006","HALIFAX","205",0,1,0,0,"205%07.2f131.02999999999997"
"2006","0580","%07.2f132.01999999999998",1,1,"December 31, 2006","HALIFAX","205",12,18,0.666666666666667,0,"205%07.2f132.01999999999998"
"2006","0580","%07.2f132.01999999999998",2,1,"December 31, 2006","HALIFAX","205",6,4,1.5,0,"205%07.2f132.01999999999998"
"2006","0580","%07.2f132.02999999999997",1,1,"December 31, 2006","HALIFAX","205",1,7,0.142857142857143,0,"205%07.2f132.02999999999997"
"2006","0580","%07.2f132.02999999999997",2,1,"December 31, 2006","HALIFAX","205",0,1,0,0,"205%07.2f132.02999999999997"
"2006","0580","%07.2f140.0",1,1,"December 31, 2006","HALIFAX","205",1,7,0.142857142857143,0,"205%07.2f140.0"
"2006","0580","%07.2f141.0",1,1,"December 31, 2006","HALIFAX","205",0,1,0,0,"205%07.2f141.0"
"2006","0580","%07.2f142.0",1,1,"December 31, 2006","HALIFAX","205",3,8,0.375,0,"205%07.2f142.0"
"2006","0580","%07.2f142.0",2,1,"December 31, 2006","HALIFAX","205",2,4,0.5,0,"205%07.2f142.0"
