"","ref_yy","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"124","2018","1265","December 31, 2018","OTTAWA",8019,2242,3.57671721677074,0.233719892952721,4,"1069895",74.9512802658205
"125","2019","0140","December 31, 2019","CALGARY",11587,3006,3.85462408516301,0.209913506320692,4,"1540598.9400000002",75.2110085185441
"126","2019","0610","December 31, 2019","HAMILTON",5296,791,6.69532237673831,0.38558786346397,4,"805717.813",65.730208697769
"127","2019","1060","December 31, 2019","MONTRÉAL",28904,2180,13.2587155963303,1.4743119266055,4,"4367904.38",66.1736097803496
"128","2019","1265","December 31, 2019","OTTAWA",9851,2602,3.78593389700231,0.23674096848578,4,"1092267",90.1885711094449
"129","2020","0140","December 31, 2020","CALGARY",10177,2596,3.92026194144838,0.238828967642527,4,"1558572.8099999998",65.2969173766094
"130","2020","0610","December 31, 2020","HAMILTON",5697,663,8.59276018099547,0.490196078431373,4,"811303.25",70.220352254228
"131","2020","1060","December 31, 2020","MONTRÉAL",31585,2333,13.5383626232319,1.40548649807115,4,"4349315.38",72.620624720022
"132","2020","1265","December 31, 2020","OTTAWA",11997,3017,3.97646668876367,0.250580046403712,4,"1113242",107.766325740495
"133","2021","0140","December 31, 2021","CALGARY",14438,4206,3.43271516880647,0.16642891107941,4,"1588913.3099999998",90.8671348470232
"134","2021","0610","December 31, 2021","HAMILTON",6881,867,7.93656286043829,0.444059976931949,4,"818995.875",84.0175171822447
"135","2021","1060","December 31, 2021","MONTRÉAL",40781,2491,16.3713368125251,1.64391810517864,4,"4342217.13",93.9174591667644
"136","2021","1265","December 31, 2021","OTTAWA",13578,3478,3.90396779758482,0.240655549166187,4,"1122589",120.952548083047
"137","2022","0140","December 31, 2022","CALGARY",18594,5671,3.2787868100864,0.145124316698995,4,"1636715.8",113.605550823179
"138","2022","0610","December 31, 2022","HAMILTON",7025,1099,6.39217470427662,0.313921747042766,4,"830395.7810000001",84.5982140171784
"139","2022","1060","December 31, 2022","MONTRÉAL",38826,1920,20.221875,1.98020833333333,4,"4395660.53",88.3280220003704
