"ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1996","0140","March 31, 1996","CALGARY",7111,NA,NA,6128,1.16041122715405,0,0.41693864229765,"1996-4","4",867371.684,81.9833080924048
"1996","0580","June 30, 1996",NA,2022,NA,NA,1707,1.18453427065026,0,0.210433763188746,"1996-4","4",355184.127,56.9282196554915
"1996","0340","March 31, 1996","EDMONTON",3634,NA,NA,3127,1.162136232811,0,0.468126207340631,"1996-4","4",896539.384,40.5336348280267
"1996","1700","March 31, 1996","SASKATOON",1208,NA,NA,724,1.66850828729282,0.00828729281767956,0.297687861271676,"1996-4","4",229608.608,52.6112679538565
"1996","1490","June 30, 1996","REGINA",434,NA,NA,374,1.16042780748663,0,0.199335548172757,"1996-4","4",199991.75,21.7008951619254
"1996","1060","March 31, 1996","MONTRÉAL",7556,NA,NA,4774,1.58273984080436,0.0255550900712191,0.393115942028986,"1996-4","4",3516176.53,21.4892509961666
"1996","2680","March 31, 1996","WINNIPEG",1135,NA,NA,872,1.30160550458716,0,0.23394495412844,"1996-4","4",683795.775,16.5985231482309
"1996","1400","June 30, 1996","QUÉBEC",2208,NA,NA,1212,1.82178217821782,0,0.214521452145215,"1996-4","4",693506.376,31.8382076417997
"1996","0610","June 30, 1996",NA,2642,NA,NA,1700,1.55411764705882,0,1.17823529411765,"1996-4","4",650534.64,40.6127489229474
"1996","2270","June 30, 1996","TORONTO",18998,NA,NA,11671,1.62779539028361,0.0227058521120727,2.0626700605635,"1996-4","4",4475011.36,42.4535235146308
"1997","2410","March 31, 1997","VANCOUVER",15950,NA,NA,5629,2.83354059335584,0.17249955587138,0.594777047432937,"1997-4","4",1982404.87,80.4578330157149
"1997","0340","March 31, 1997","EDMONTON",4962,NA,NA,3930,1.26259541984733,0,0.316416364577939,"1997-4","4",915045.897,54.2267881454694
"1997","1400","June 30, 1997","QUÉBEC",2233,NA,NA,1458,1.53155006858711,0,0.171467764060357,"1997-4","4",695174.357,32.1214379891173
"1997","2680","March 31, 1997","WINNIPEG",1518,NA,NA,1241,1.2232070910556,0,0.27477840451249,"1997-4","4",684487.557,22.1771745077902
"1997","0610","March 31, 1997",NA,3698,NA,NA,2505,1.47624750499002,0,0.447105788423154,"1997-4","4",658022.646,56.1986737459489
"1997","2440","June 30, 1997","VICTORIA",1311,NA,NA,762,1.72047244094488,0,0.729658792650919,"1997-4","4",319103.393,41.0838627466428
"1997","1700","March 31, 1997","SASKATOON",1187,NA,NA,809,1.4672435105068,0,0.439353099730458,"1997-4","4",231285.444,51.3218635583483
"1997","0580","March 31, 1997",NA,2065,NA,NA,1509,1.36845593108019,0,0.270486342438374,"1997-4","4",358718.75,57.5659900688213
