"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","reference_period_qq","ref_qq","population","comp_per_10kpop"
"1988","4811061","June 30, 1988","0340","EDMONTON","EDMONTON CY",1490,NA,NA,1374,1.0844250363901,0,4.30811403508772,"1988-4","4",821466.779,18.1382867583985
"1988","2421460","December 31, 1988","1400",NA,NA,198,NA,NA,62,3.19354838709677,0,7.20689655172414,"1988-4","4",646773.443,3.06135018595685
"1988","2462200","June 30, 1988","1060",NA,NA,628,NA,NA,310,2.0258064516129,0.251612903225806,5.31932773109244,"1988-4","4",3351700.63,1.87367569280792
"1988","2466380","December 31, 1988","1060",NA,NA,432,NA,NA,125,3.456,0.072,5.94871794871795,"1988-4","4",3351700.63,1.28889792881055
"1988","2469480","September 30, 1988","1060",NA,NA,44,NA,NA,44,1,0,6.2,"1988-4","4",3351700.63,0.13127664089737
"1988","3525026","September 30, 1988","0610",NA,NA,67,NA,NA,67,1,0,4.47457627118644,"1988-4","4",607581.042,1.1027335510577
"1988","2473300","September 30, 1988","1060",NA,NA,97,NA,NA,93,1.04301075268817,0,5.50909090909091,"1988-4","4",3351700.63,0.289405321978294
"1988","4706032","September 30, 1988","1490","REGINA","BALGONIE T",14,NA,NA,14,1,0,5.90909090909091,"1988-4","4",195585.119,0.71580087849117
"1988","5913011","September 30, 1988","2410","VANCOUVER","DELTA DM",562,NA,NA,347,1.61959654178674,0.069164265129683,5.20618556701031,"1988-4","4",1562206,3.59747690125374
"1988","5915036","December 31, 1988","2410","VANCOUVER","BELCARRA VL",2,NA,NA,2,1,0,NA,"1988-4","4",1562206,0.0128024089012589
"1988","5915043","December 31, 1988","2410","VANCOUVER","PORT MOODY CY",52,NA,NA,52,1,0,3.82222222222222,"1988-4","4",1562206,0.33286263143273
"1988","2472210","December 31, 1988","1060",NA,NA,25,NA,NA,15,1.66666666666667,0,4.18181818181818,"1988-4","4",3351700.63,0.0745890005098695
"1988","4711073","September 30, 1988","1700","SASKATOON","DALMENY T",2,NA,NA,2,1,0,3,"1988-4","4",216113.54,0.0925439470382096
"1988","2421500","September 30, 1988","1400",NA,NA,36,NA,NA,30,1.2,0,5.11111111111111,"1988-4","4",646773.443,0.556609124719427
"1988","4811031","June 30, 1988","0340",NA,NA,33,NA,NA,30,1.1,0,4.84210526315789,"1988-4","4",821466.779,0.401720444984666
"1988","2416400","September 30, 1988","1400",NA,NA,1,NA,NA,1,1,0,30,"1988-4","4",646773.443,0.0154613645755396
"1988","2456310","December 31, 1988","1060",NA,NA,86,NA,NA,60,1.43333333333333,0,5.26923076923077,"1988-4","4",3351700.63,0.256586161753951
"1988","3519048","September 30, 1988","2270","TORONTO","NEWMARKET T",198,NA,NA,198,1,0,6.69189189189189,"1988-4","4",3917164.25,0.505467698986582
"1988","4811019","December 31, 1988","0340","EDMONTON","CALMAR T",3,NA,NA,3,1,0,5,"1988-4","4",821466.779,0.0365200404531514
"1988","4811034","September 30, 1988","0340","EDMONTON","PARKLAND COUNTY MD",86,NA,NA,86,1,0,7.3015873015873,"1988-4","4",821466.779,1.04690782632367
"1988","3506004","June 30, 1988","1265",NA,NA,648,NA,NA,603,1.07462686567164,0,5.22037037037037,"1988-4","4",683074.4453,9.48652089766591
"1988","4811068","December 31, 1988","0340","EDMONTON","MORINVILLE T",11,NA,NA,11,1,0,3.77777777777778,"1988-4","4",821466.779,0.133906814994889
"1988","4811036","September 30, 1988","0340",NA,NA,1,NA,NA,1,1,0,NA,"1988-4","4",821466.779,0.0121733468177171
"1988","2463110","June 30, 1988","1060",NA,NA,390,NA,NA,310,1.25806451612903,0,4.53260869565217,"1988-4","4",3351700.63,1.16358840795396
"1988","3520014","September 30, 1988","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",26,NA,NA,19,1.36842105263158,0,5.35294117647059,"1988-4","4",3917164.25,0.0663745463315714
"1988","2465580","December 31, 1988","1060",NA,NA,189,NA,NA,160,1.18125,0.01875,7.07894736842105,"1988-4","4",3351700.63,0.563892843854614
"1988","5915022","June 30, 1988","2410","VANCOUVER","VANCOUVER CY",2023,NA,NA,692,2.92341040462428,0.414739884393064,5.83670295489891,"1988-4","4",1562206,12.9496366036233
"1988","2463250","June 30, 1988","1060",NA,NA,153,NA,NA,116,1.31896551724138,0,5.48936170212766,"1988-4","4",3351700.63,0.456484683120401
