"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"435","2006","1400","G6Z",1,1,"December 31, 2006","QUÉBEC",1,4,0.25,0
"436","2006","1400","G6Z",2,1,"December 31, 2006","QUÉBEC",4,2,2,0
"437","2006","1400","G6Z",4,1,"December 31, 2006","QUÉBEC",3,1,3,3
"438","2006","1400","G7A",1,1,"December 31, 2006","QUÉBEC",1,6,0.166666666666667,0
"439","2006","1400","nan",1,1,"December 31, 2006","QUÉBEC",20,61,0.327868852459016,0
"440","2006","1400","nan",2,1,"December 31, 2006","QUÉBEC",19,28,0.678571428571429,0
"441","2006","1400","nan",4,3,"December 31, 2006","QUÉBEC",4,1,4,2
"442","2006","1400","nan",5,1,"December 31, 2006","QUÉBEC",7,5,1.4,1.6
"443","2006","1400","nan",5,3,"December 31, 2006","QUÉBEC",56,18,3.11111111111111,2.88888888888889
"444","2006","1490","S4N",1,1,"December 31, 2006","REGINA",3,9,0.333333333333333,0
"445","2006","1490","S4N",2,1,"December 31, 2006","REGINA",2,1,2,0
"446","2006","1490","S4P",1,1,"December 31, 2006","REGINA",3,9,0.333333333333333,0
"447","2006","1490","S4R",1,1,"December 31, 2006","REGINA",5,6,0.833333333333333,0
"448","2006","1490","S4S",5,3,"December 31, 2006","REGINA",7,1,7,0
"449","2006","1490","S4T",1,1,"December 31, 2006","REGINA",0,2,0,0
"450","2006","1490","S4T",4,3,"December 31, 2006","REGINA",6,5,1.2,0
"451","2006","1490","S4V",1,1,"December 31, 2006","REGINA",10,34,0.294117647058824,0
"452","2006","1490","S4V",1,3,"December 31, 2006","REGINA",2,3,0.666666666666667,0
"453","2006","1490","S4V",4,3,"December 31, 2006","REGINA",8,6,1.33333333333333,0
"454","2006","1490","S4V",5,3,"December 31, 2006","REGINA",3,1,3,0
"455","2006","1490","S4X",1,1,"December 31, 2006","REGINA",4,23,0.173913043478261,0
"456","2006","1490","S4X",4,3,"December 31, 2006","REGINA",10,5,2,0
"457","2006","1490","nan",1,1,"December 31, 2006","REGINA",0,4,0,0
"458","2006","1490","nan",5,3,"December 31, 2006","REGINA",1,1,1,3
"459","2006","1700","S7J",1,3,"December 31, 2006","SASKATOON",3,3,1,0
"460","2006","1700","S7L",1,1,"December 31, 2006","SASKATOON",0,9,0,0
"461","2006","1700","S7L",2,1,"December 31, 2006","SASKATOON",0,1,0,0
"462","2006","1700","S7M",1,1,"December 31, 2006","SASKATOON",0,1,0,0
"463","2006","1700","S7N",1,1,"December 31, 2006","SASKATOON",0,3,0,0
"464","2006","1700","S7T",1,1,"December 31, 2006","SASKATOON",7,15,0.466666666666667,0
"465","2006","1700","nan",1,1,"December 31, 2006","SASKATOON",3,41,0.0731707317073171,0
"466","2006","1700","nan",1,3,"December 31, 2006","SASKATOON",0,1,0,0
"467","2006","1700","nan",2,1,"December 31, 2006","SASKATOON",2,2,1,0
"468","2006","1700","nan",5,3,"December 31, 2006","SASKATOON",9,2,4.5,0
"469","2006","2270","L0E",1,1,"December 31, 2006","TORONTO",0,6,0,0
"470","2006","2270","L0G",1,1,"December 31, 2006","TORONTO",4,6,0.666666666666667,0
"471","2006","2270","L0H",1,1,"December 31, 2006","TORONTO",0,1,0,0
"472","2006","2270","L0P",1,1,"December 31, 2006","TORONTO",0,1,0,0
"473","2006","2270","L1S",2,1,"December 31, 2006","TORONTO",1,3,0.333333333333333,0
"474","2006","2270","L1V",1,1,"December 31, 2006","TORONTO",0,7,0,0
"475","2006","2270","L3R",5,3,"December 31, 2006","TORONTO",8,1,8,0
"476","2006","2270","L3T",5,3,"December 31, 2006","TORONTO",3,1,3,0
"477","2006","2270","L3Y",1,1,"December 31, 2006","TORONTO",0,1,0,0
"478","2006","2270","L3Z",1,1,"December 31, 2006","TORONTO",0,16,0,0
"479","2006","2270","L4A",1,1,"December 31, 2006","TORONTO",0,15,0,0
"480","2006","2270","L4C",1,1,"December 31, 2006","TORONTO",0,3,0,0
"481","2006","2270","L4G",1,1,"December 31, 2006","TORONTO",1,3,0.333333333333333,0
"482","2006","2270","L4G",1,3,"December 31, 2006","TORONTO",0,1,0,0
"483","2006","2270","L4J",1,1,"December 31, 2006","TORONTO",1,1,1,0
"484","2006","2270","L4L",1,1,"December 31, 2006","TORONTO",1,10,0.1,0
"485","2006","2270","L4L",2,1,"December 31, 2006","TORONTO",0,4,0,0
"486","2006","2270","L4P",1,1,"December 31, 2006","TORONTO",1,18,0.0555555555555556,0
"487","2006","2270","L4T",1,1,"December 31, 2006","TORONTO",0,1,0,0
"488","2006","2270","L4Z",2,1,"December 31, 2006","TORONTO",0,3,0,0
"489","2006","2270","L5B",1,1,"December 31, 2006","TORONTO",0,1,0,0
"490","2006","2270","L5B",5,3,"December 31, 2006","TORONTO",4,1,4,0
"491","2006","2270","L5G",1,1,"December 31, 2006","TORONTO",0,1,0,0
"492","2006","2270","L5G",2,1,"December 31, 2006","TORONTO",0,1,0,0
"493","2006","2270","L5H",1,1,"December 31, 2006","TORONTO",0,2,0,0
"494","2006","2270","L5J",1,1,"December 31, 2006","TORONTO",0,1,0,0
"495","2006","2270","L5J",1,3,"December 31, 2006","TORONTO",0,1,0,0
"496","2006","2270","L5L",1,1,"December 31, 2006","TORONTO",0,1,0,0
"497","2006","2270","L5M",1,1,"December 31, 2006","TORONTO",0,2,0,0
"498","2006","2270","L5R",1,1,"December 31, 2006","TORONTO",0,4,0,0
"499","2006","2270","L6C",1,1,"December 31, 2006","TORONTO",0,2,0,0
"500","2006","2270","L6H",1,1,"December 31, 2006","TORONTO",9,34,0.264705882352941,0
"501","2006","2270","L6H",2,1,"December 31, 2006","TORONTO",4,2,2,0
"502","2006","2270","L6H",4,1,"December 31, 2006","TORONTO",3,2,1.5,0
"503","2006","2270","L6J",1,1,"December 31, 2006","TORONTO",1,2,0.5,0
"504","2006","2270","L6K",4,1,"December 31, 2006","TORONTO",5,1,5,0
"505","2006","2270","L6L",1,1,"December 31, 2006","TORONTO",2,18,0.111111111111111,0
"506","2006","2270","L6L",2,1,"December 31, 2006","TORONTO",1,1,1,0
"507","2006","2270","L6L",4,3,"December 31, 2006","TORONTO",3,2,1.5,0
"508","2006","2270","L6R",4,3,"December 31, 2006","TORONTO",6,1,6,0
"509","2006","2270","L7K",1,1,"December 31, 2006","TORONTO",1,2,0.5,0
"510","2006","2270","L9P",1,1,"December 31, 2006","TORONTO",0,4,0,0
"511","2006","2270","L9R",1,1,"December 31, 2006","TORONTO",0,11,0,0
"512","2006","2270","L9R",2,1,"December 31, 2006","TORONTO",0,1,0,0
"513","2006","2270","L9W",1,1,"December 31, 2006","TORONTO",3,7,0.428571428571429,0
"514","2006","2270","M1B",4,3,"December 31, 2006","TORONTO",3,2,1.5,0
"515","2006","2270","M1C",1,1,"December 31, 2006","TORONTO",0,6,0,0
"516","2006","2270","M1E",1,1,"December 31, 2006","TORONTO",0,4,0,0
