"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"199","1988","4706023","December 31, 1988","1490","REGINA","PENSE T",1,1,1,0,4,"195585.119",0.0511286341779407
"200","1988","4706026","December 31, 1988","1490","REGINA","SHERWOOD NO. 159 RM",4,4,1,0,4,"195585.119",0.204514536711763
"201","1988","4706027","December 31, 1988","1490","REGINA","REGINA CY",566,211,2.6824644549763,0.042654028436019,4,"195585.119",28.9388069447144
"202","1988","4706028","December 31, 1988","1490","REGINA","GRAND COULEE T",4,4,1,0,4,"195585.119",0.204514536711763
"203","1988","4706029","December 31, 1988","1490","REGINA","EDENWOLD NO. 158 RM",2,2,1,0,4,"195585.119",0.102257268355881
"204","1988","4706030","December 31, 1988","1490","REGINA","WHITE CITY T",9,9,1,0,4,"195585.119",0.460157707601466
"205","1988","4706031","December 31, 1988","1490","REGINA","PILOT BUTTE T",1,1,1,0,4,"195585.119",0.0511286341779407
"206","1988","4706032","December 31, 1988","1490","REGINA","BALGONIE T",8,8,1,0,4,"195585.119",0.409029073423526
"207","1988","4706053","December 31, 1988","1490","REGINA","LUMSDEN NO. 189 RM",9,9,1,0,4,"195585.119",0.460157707601466
"208","1988","4706056","December 31, 1988","1490","REGINA","LUMSDEN T",5,5,1,0,4,"195585.119",0.255643170889704
"209","1988","4706058","December 31, 1988","1490","REGINA","REGINA BEACH T",3,3,1,0,4,"195585.119",0.153385902533822
"210","1988","4711061","December 31, 1988","1700","SASKATOON","DUNDURN NO. 314 RM",1,1,1,0,4,"216113.54",0.0462719735191048
"211","1988","4711065","December 31, 1988","1700","SASKATOON","CORMAN PARK NO. 344 RM",1,1,1,0,4,"216113.54",0.0462719735191048
"212","1988","4711066","December 31, 1988","1700","SASKATOON","SASKATOON CY",657,148,4.43918918918919,0.101351351351351,4,"216113.54",30.4006866020519
"213","1988","4711068","December 31, 1988","1700","SASKATOON","WARMAN CY",5,5,1,0,4,"216113.54",0.231359867595524
"214","1988","4711070","December 31, 1988","1700","SASKATOON","MARTENSVILLE CY",23,9,2.55555555555556,0,4,"216113.54",1.06425539093941
"215","1988","4711073","December 31, 1988","1700","SASKATOON","DALMENY T",2,2,1,0,4,"216113.54",0.0925439470382096
"216","1988","4712054","December 31, 1988","1700","SASKATOON","VANSCOY NO. 345 RM",5,5,1,0,4,"216113.54",0.231359867595524
"217","1988","4806014","December 31, 1988","0140","CALGARY","ROCKY VIEW COUNTY MD",71,71,1,0,4,"724449.865",0.980054016574356
"218","1988","4806016","December 31, 1988","0140","CALGARY","CALGARY CY",1590,1375,1.15636363636364,0,4,"724449.865",21.9476885401863
"219","1988","4806019","December 31, 1988","0140","CALGARY","COCHRANE T",6,6,1,0,4,"724449.865",0.0828214661893822
"220","1988","4806021","December 31, 1988","0140","CALGARY","AIRDRIE CY",11,11,1,0,4,"724449.865",0.151839354680534
"221","1988","4806026","December 31, 1988","0140","CALGARY","CROSSFIELD T",3,3,1,0,4,"724449.865",0.0414107330946911
"222","1988","4811012","December 31, 1988","0340","EDMONTON","LEDUC COUNTY MD",9,9,1,0,4,"821466.779",0.109560121359454
"223","1988","4811013","December 31, 1988","0340","EDMONTON","BEAUMONT CY",20,20,1,0,4,"821466.779",0.243466936354343
"224","1988","4811016","December 31, 1988","0340","EDMONTON","LEDUC CY",25,25,1,0,4,"821466.779",0.304333670442929
"225","1988","4811018","December 31, 1988","0340","EDMONTON","DEVON T",6,6,1,0,4,"821466.779",0.0730400809063028
"226","1988","4811031","December 31, 1988","0340",NA,NA,18,15,1.2,0,4,"821466.779",0.219120242718909
"227","1988","4811034","December 31, 1988","0340","EDMONTON","PARKLAND COUNTY MD",37,37,1,0,4,"821466.779",0.450413832255534
"228","1988","4811046","December 31, 1988","0340","EDMONTON","SPRING LAKE VL",2,2,1,0,4,"821466.779",0.0243466936354343
"229","1988","4811048","December 31, 1988","0340","EDMONTON","STONY PLAIN T",29,20,1.45,0,4,"821466.779",0.353027057713797
