"ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr"
"2006","2410","V3M","March 31, 2006","VANCOUVER",376,NA,NA,60,6.26666666666667,1.91666666666667,13.5666666666667
"2006","1060","H2G","March 31, 2006","MONTRÉAL",10,NA,NA,2,5,3,9
"2006","1400","G1X","December 31, 2006","QUÉBEC",397,NA,NA,47,8.4468085106383,0.595744680851064,5.42857142857143
"2006","1400","G3B","December 31, 2006","QUÉBEC",81,NA,NA,80,1.0125,0.025,4.06382978723404
"2006","2410","V3C","December 31, 2006","VANCOUVER",299,NA,NA,27,11.0740740740741,1.18518518518519,8.62962962962963
"2006","2410","V5A","June 30, 2006","VANCOUVER",399,NA,NA,53,7.52830188679245,1.77358490566038,8.67924528301887
"2006","1060","H4K","June 30, 2006","MONTRÉAL",72,NA,NA,13,5.53846153846154,0,12.9090909090909
"2006","1265","K1V","June 30, 2006","OTTAWA",206,NA,NA,91,2.26373626373626,0,4.97727272727273
"2006","0580","B4E","December 31, 2006","HALIFAX",56,NA,NA,53,1.05660377358491,0,3.64444444444444
"2006","1060","J7Y","June 30, 2006","MONTRÉAL",217,NA,NA,110,1.97272727272727,0.509090909090909,5.375
"2006","1060","nan","June 30, 2006","MONTRÉAL",7528,NA,NA,4258,1.76796618130578,0.22592766557069,5.44410224822914
"2006","2270","M2R","June 30, 2006","TORONTO",25,NA,NA,16,1.5625,0,10.0625
"2006","1060","J3E","December 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,4
"2006","1060","J3V","September 30, 2006","MONTRÉAL",22,NA,NA,12,1.83333333333333,0.5,7.54545454545455
"2006","0140","T2Y","March 31, 2006","CALGARY",91,NA,NA,75,1.21333333333333,0,8.29333333333333
"2006","2270","L6R","March 31, 2006","TORONTO",239,NA,NA,44,5.43181818181818,0.0681818181818182,7.07317073170732
"2006","2410","V6H","March 31, 2006","VANCOUVER",7,NA,NA,7,1,0,14.2857142857143
"2006","1060","J3H","March 31, 2006","MONTRÉAL",185,NA,NA,138,1.34057971014493,0.0869565217391304,5
"2006","2270","L6J","March 31, 2006","TORONTO",35,NA,NA,35,1,0,14
"2006","0340","T8A","September 30, 2006","EDMONTON",12,NA,NA,9,1.33333333333333,0,6.77777777777778
"2006","1060","J7M","June 30, 2006","MONTRÉAL",373,NA,NA,264,1.41287878787879,0.196969696969697,4.94943820224719
"2006","1265","K1E","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,5
"2006","2270","L7K","September 30, 2006","TORONTO",59,NA,NA,47,1.25531914893617,0,8.29787234042553
"2006","2410","V6K","December 31, 2006","VANCOUVER",47,NA,NA,27,1.74074074074074,0.259259259259259,15.6296296296296
"2006","2680","R3N","December 31, 2006","WINNIPEG",96,NA,NA,3,32,1.33333333333333,15.3333333333333
"2006","2680","R4A","June 30, 2006","WINNIPEG",49,NA,NA,49,1,0,6.75
"2006","1060","H7M","December 31, 2006","MONTRÉAL",115,NA,NA,81,1.41975308641975,0.123456790123457,6.92424242424242
"2006","1400","G1L","September 30, 2006","QUÉBEC",68,NA,NA,2,34,2,7
"2006","1490","S4V","June 30, 2006","REGINA",365,NA,NA,236,1.54661016949153,0,6.68534482758621
"2006","2270","L4L","September 30, 2006","TORONTO",87,NA,NA,77,1.12987012987013,0.038961038961039,7.2987012987013
"2006","2410","V5R","September 30, 2006","VANCOUVER",106,NA,NA,90,1.17777777777778,0.0444444444444444,5.88888888888889
"2006","2410","V7R","March 31, 2006","VANCOUVER",61,NA,NA,42,1.45238095238095,0,11.4047619047619
"2006","1060","H7K","June 30, 2006","MONTRÉAL",22,NA,NA,22,1,0,6.06666666666667
"2006","1265","K1Y","September 30, 2006","OTTAWA",38,NA,NA,14,2.71428571428571,0,5.85714285714286
"2006","2270","M4B","September 30, 2006","TORONTO",3,NA,NA,3,1,0,11.6666666666667
"2006","0340","T8T","June 30, 2006","EDMONTON",38,NA,NA,38,1,0,6.81081081081081
"2006","1060","H2L","March 31, 2006","MONTRÉAL",64,NA,NA,9,7.11111111111111,1.66666666666667,5.66666666666667
"2006","2410","V7L","June 30, 2006","VANCOUVER",93,NA,NA,34,2.73529411764706,0.411764705882353,9.64705882352941
"2006","2440","V8X","June 30, 2006","VICTORIA",143,NA,NA,15,9.53333333333333,0.666666666666667,9.92857142857143
"2006","0340","T8N","September 30, 2006","EDMONTON",38,NA,NA,37,1.02702702702703,0,9.67567567567568
"2006","1060","H7A","March 31, 2006","MONTRÉAL",181,NA,NA,114,1.58771929824561,0.219298245614035,5.06
"2006","1265","K1G","September 30, 2006","OTTAWA",1,NA,NA,1,1,0,7
"2006","1400","G2M","June 30, 2006","QUÉBEC",17,NA,NA,14,1.21428571428571,0,9
"2006","2410","V3H","June 30, 2006","VANCOUVER",354,NA,NA,125,2.832,0.216,6.792
"2006","0140","T2N","December 31, 2006","CALGARY",124,NA,NA,92,1.34782608695652,0,11.2608695652174
"2006","1060","J4T","June 30, 2006","MONTRÉAL",34,NA,NA,12,2.83333333333333,1.5,5.16666666666667
"2006","2270","L1S","December 31, 2006","TORONTO",109,NA,NA,26,4.19230769230769,0,6.42307692307692
"2006","2440","V9A","December 31, 2006","VICTORIA",98,NA,NA,20,4.9,0.75,8
"2006","0140","T2H","June 30, 2006","CALGARY",64,NA,NA,9,7.11111111111111,0,12.4444444444444
"2006","2410","V6E","March 31, 2006","VANCOUVER",223,NA,NA,3,74.3333333333333,14.6666666666667,20.6666666666667
"2006","2440","V8T","December 31, 2006","VICTORIA",40,NA,NA,6,6.66666666666667,0.5,8.4
"2006","2440","V9B","September 30, 2006","VICTORIA",247,NA,NA,68,3.63235294117647,0.294117647058824,7.73134328358209
"2006","0610","L8S","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,16
"2006","2270","M2K","June 30, 2006","TORONTO",2,NA,NA,2,1,0,11.5
"2006","2270","M2N","September 30, 2006","TORONTO",805,NA,NA,44,18.2954545454545,1.5,10.9318181818182
"2006","2410","nan","March 31, 2006","VANCOUVER",7730,NA,NA,2747,2.81397888605752,0.279213687659265,6.92553191489362
"2006","0580","B2W","September 30, 2006","HALIFAX",226,NA,NA,46,4.91304347826087,0,7.65217391304348
"2006","2680","R0A","March 31, 2006","WINNIPEG",68,NA,NA,65,1.04615384615385,0,5.75438596491228
"2006","1400","G2E","June 30, 2006","QUÉBEC",168,NA,NA,59,2.84745762711864,0.23728813559322,4.31818181818182
"2006","1400","G3K","December 31, 2006","QUÉBEC",56,NA,NA,46,1.21739130434783,0.0434782608695652,3.9375
"2006","2270","M4J","June 30, 2006","TORONTO",4,NA,NA,4,1,0,8.25
"2006","2680","R4L","December 31, 2006","WINNIPEG",8,NA,NA,8,1,0,6.375
"2006","2270","L6W","March 31, 2006","TORONTO",1,NA,NA,1,1,0,6
"2006","2270","M6S","June 30, 2006","TORONTO",4,NA,NA,4,1,0,5.75
"2006","2410","V2X","March 31, 2006","VANCOUVER",34,NA,NA,19,1.78947368421053,0.157894736842105,12.9473684210526
"2006","2680","R1A","September 30, 2006","WINNIPEG",80,NA,NA,51,1.56862745098039,0.117647058823529,5.61363636363636
"2006","2680","R2M","December 31, 2006","WINNIPEG",27,NA,NA,27,1,0,7.45454545454545
"2006","2410","V3B","June 30, 2006","VANCOUVER",25,NA,NA,12,2.08333333333333,0.833333333333333,7.5
"2006","2270","L1V","December 31, 2006","TORONTO",93,NA,NA,90,1.03333333333333,0,7.95238095238095
"2006","2270","M3J","June 30, 2006","TORONTO",73,NA,NA,14,5.21428571428571,0,10.9285714285714
"2006","2410","V7W","September 30, 2006","VANCOUVER",36,NA,NA,23,1.56521739130435,0,19.4347826086957
"2006","0610","L8G","December 31, 2006","HAMILTON",19,NA,NA,19,1,0,6.375
"2006","1265","K4A","June 30, 2006","OTTAWA",1,NA,NA,1,1,0,6
"2006","2270","L4K","September 30, 2006","TORONTO",1,NA,NA,1,1,0,58
"2006","2270","L6H","September 30, 2006","TORONTO",291,NA,NA,265,1.09811320754717,0,5.82558139534884
"2006","2270","M4E","June 30, 2006","TORONTO",88,NA,NA,12,7.33333333333333,0,11.0833333333333
"2006","0140","T2T","December 31, 2006","CALGARY",204,NA,NA,108,1.88888888888889,0.12962962962963,11.1401869158879
"2006","2410","V6J","December 31, 2006","VANCOUVER",91,NA,NA,14,6.5,1.07142857142857,15.3571428571429
"2006","2270","L3T","December 31, 2006","TORONTO",172,NA,NA,14,12.2857142857143,0,6.07692307692308
"2006","2270","M6L","December 31, 2006","TORONTO",11,NA,NA,11,1,0,10.3636363636364
