"ref_yy","CSDuid","metcode","metro","first_value(muni)","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"2010","4811018","0340","EDMONTON","DEVON T",1,0,0,100,0,0,28
"2011","2460005","1060","MONTRÉAL","SAINT-COLOMBAN V",3,0,66.666666666667,33.333333333333,0,0,15
"2011","3521005","2270","TORONTO","AJAX T",5,0,0,0,0,100,304.4
"2012","2475005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2018","2459015","1060","MONTRÉAL","SAINT-AMABLE MÉ",2,50,50,0,0,0,5
"1990","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",7,28.571428571429,28.571428571429,42.857142857143,0,0,21
"1993","2465280","1060",NA,NA,2,0,50,50,0,0,18
"1994","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",8,12.5,50,37.5,0,0,20.75
"1995","2459020","1060","MONTRÉAL","CANDIAC V",2,0,100,0,0,0,6
"2000","3520005","2270","TORONTO","AJAX T",29,3.448275862069,17.241379310345,31.034482758621,13.793103448276,34.48275862069,86.7586206896552
"2001","2466040","1060","MONTRÉAL","BELOEIL V",1,0,100,0,0,0,8
"2001","2472010","1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2002","2467020","1060","MONTRÉAL","CANDIAC V",1,0,100,0,0,0,8
"2005","5915055","2410","VANCOUVER","WEST VANCOUVER DM",3,0,0,100,0,0,37.3333333333333
"2008","2467020","1060","MONTRÉAL","CANDIAC V",2,0,100,0,0,0,8
"2009","2472043","1060","MONTRÉAL","SAINT-PLACIDE MÉ",1,0,100,0,0,0,20
"2009","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",4,0,100,0,0,0,6
"2011","2473010","1060","MONTRÉAL","DEUX-MONTAGNES V",5,0,100,0,0,0,10.8
"2014","5915004","2410","VANCOUVER","SURREY CY",5,0,0,80,20,0,50.4
"2014","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",2,0,0,50,0,50,69
"2017","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",12,25,25,33.333333333333,0,16.666666666667,41.5
"1994","2472030","1060","MONTRÉAL","BOIS-DES-FILION V",1,0,100,0,0,0,8
"1995","5915034","2410","VANCOUVER","COQUITLAM CY",1,0,0,0,0,100,102
"1996","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",1,100,0,0,0,0,4
"1998","2466075","1060","MONTRÉAL","TERRASSE-VAUDREUIL MÉ",2,0,100,0,0,0,16
"1998","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",2,0,0,50,0,50,76
"1999","3524001","2270","TORONTO","PICKERING CY",1,0,0,100,0,0,40
"2013","2457010","1060","MONTRÉAL","DEUX-MONTAGNES V",3,0,100,0,0,0,6
"2015","2455057","1060","MONTRÉAL","RICHELIEU V",1,0,100,0,0,0,8
"2018","2460028","1060","MONTRÉAL","L'ASSOMPTION V",NA,NA,NA,NA,NA,NA,NA
"2021","3520005","2270","TORONTO","AJAX T",59,6.779661016949,23.728813559322,35.593220338983,3.389830508475,30.508474576271,116.322033898305
"2022","5915022","2410","VANCOUVER","VANCOUVER CY",42,7.142857142857,54.761904761905,16.666666666667,16.666666666667,4.761904761905,35.9761904761905
"1989","2466700","1060",NA,NA,3,0,100,0,0,0,7.33333333333333
"1999","3506012","1265",NA,NA,1,0,0,0,100,0,66
"2000","2466080","1060",NA,NA,8,0,100,0,0,0,7.125
"2005","4811062","0340","EDMONTON","ST. ALBERT CY",1,0,0,100,0,0,30
"2008","5915022","2410","VANCOUVER","VANCOUVER CY",25,0,8,36,24,32,86.16
"2012","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",7,14.285714285714,71.428571428571,14.285714285714,0,0,8.85714285714286
"2015","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",16,81.25,12.5,0,6.25,0,7.875
"2021","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",2,0,0,50,0,50,102
"1991","2466600","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","3506014","1265",NA,NA,27,0,59.259259259259,18.518518518519,18.518518518519,3.703703703704,31.1111111111111
"1995","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",2,0,100,0,0,0,8
"1999","2458005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,0,0,100,0,70
"1999","5915015","2410","VANCOUVER","RICHMOND CY",1,0,0,0,0,100,116
"2002","4806016","0140","CALGARY","CALGARY CY",26,7.692307692308,23.076923076923,30.769230769231,19.230769230769,19.230769230769,55.0769230769231
"2006","2467020","1060","MONTRÉAL","CANDIAC V",4,50,50,0,0,0,6
"2010","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",5,0,80,20,0,0,17.2
"2015","2458007","1060","MONTRÉAL","BROSSARD V",9,0,66.666666666667,11.111111111111,11.111111111111,11.111111111111,35.7777777777778
"2015","2474005","1060","MONTRÉAL","SAINT-COLOMBAN V",9,11.111111111111,88.888888888889,0,0,0,7.77777777777778
"2015","3543007","2270","TORONTO","NEW TECUMSETH T",1,0,0,100,0,0,48
"2022","2459015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,8
"1991","2456310","1060",NA,NA,1,100,0,0,0,0,4
"1995","2464010","1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"1996","3520004","2270",NA,NA,8,0,12.5,12.5,0,75,103.375
"2000","2457015","1060","MONTRÉAL","SAINT-AMABLE MÉ",2,0,100,0,0,0,10
"2000","5915002","2410","VANCOUVER","LANGLEY CY",1,0,0,0,100,0,78
"2003","5915015","2410","VANCOUVER","RICHMOND CY",7,0,0,71.428571428571,14.285714285714,14.285714285714,43.8571428571429
"2007","2458227","1060","MONTRÉAL","LONGUEUIL V",19,42.105263157895,52.631578947368,5.263157894737,0,0,9.36842105263158
"2011","2466142","1060","MONTRÉAL","DOLLARD DES ORMEAUX V",1,0,100,0,0,0,12
"2011","2467025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",NA,NA,NA,NA,NA,NA,NA
"2013","2467010","1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,12
"2014","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",NA,NA,NA,NA,NA,NA,NA
"2018","2458227","1060","MONTRÉAL","LONGUEUIL V",37,21.621621621622,62.162162162162,5.405405405405,2.702702702703,8.108108108108,24.027027027027
"1989","2466500","1060",NA,NA,1,0,100,0,0,0,8
"1989","3506012","1265",NA,NA,1,0,0,0,0,100,118
"1992","4806014","0140","CALGARY","ROCKY VIEW NO. 44 MD",1,0,100,0,0,0,18
"1993","3519028","2270","TORONTO","VAUGHAN CY",2,0,0,0,0,100,124.5
"1995","5915002","2410","VANCOUVER","LANGLEY CY",2,0,0,100,0,0,35.5
"1997","2457040","1060","MONTRÉAL","BELOEIL V",2,0,100,0,0,0,6
"1999","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",2,50,50,0,0,0,6
"2002","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",8,37.5,50,12.5,0,0,9
"2011","2475005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2012","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,6
"2020","3522014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",1,0,0,0,0,100,122
"1988","5915025","2410","VANCOUVER","BURNABY CY",2,0,50,50,0,0,24.5
"1989","2463200","1060",NA,NA,3,33.333333333333,66.666666666667,0,0,0,5.33333333333333
"1992","2472150","1060",NA,NA,1,0,100,0,0,0,16
"1994","2459010","1060","MONTRÉAL","DEUX-MONTAGNES V",3,0,100,0,0,0,6
"2000","2466075","1060","MONTRÉAL","TERRASSE-VAUDREUIL MÉ",8,62.5,25,12.5,0,0,11.375
"2008","2472005","1060","MONTRÉAL","SAINT-COLOMBAN V",7,0,100,0,0,0,6
"2013","2458033","1060","MONTRÉAL","LES COTEAUX MÉ",6,50,50,0,0,0,7.66666666666667
"2017","5915043","2410","VANCOUVER","PORT MOODY CY",NA,NA,NA,NA,NA,NA,NA
"2022","3519046","2270","TORONTO","AURORA T",1,0,0,0,0,100,125
"2022","4806014","0140","CALGARY","ROCKY VIEW NO. 44 MD",NA,NA,NA,NA,NA,NA,NA
"1989","2463250","1060",NA,NA,3,0,100,0,0,0,8
"1991","2470460","1060",NA,NA,1,0,100,0,0,0,8
"1994","3520004","2270",NA,NA,10,10,10,40,30,10,56.2
"1995","2471105","1060","MONTRÉAL","SAINT-LAZARE V",NA,NA,NA,NA,NA,NA,NA
"1995","5915001","2410","VANCOUVER","LANGLEY DM",3,0,100,0,0,0,8
"1997","2466040","1060","MONTRÉAL","BELOEIL V",6,16.666666666667,66.666666666667,16.666666666667,0,0,12.6666666666667
"2001","2472015","1060","MONTRÉAL","SAINT-AMABLE MÉ",4,100,0,0,0,0,5
"2003","4811062","0340","EDMONTON","ST. ALBERT CY",2,0,50,50,0,0,25
"2004","2472005","1060","MONTRÉAL","SAINT-COLOMBAN V",9,0,88.888888888889,11.111111111111,0,0,11.6666666666667
"2005","3520005","2270","TORONTO","AJAX T",55,0,30.909090909091,14.545454545455,20,34.545454545455,103.163636363636
"2014","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",1,0,0,100,0,0,24
"2015","2475005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2017","3520005","2270","TORONTO","AJAX T",45,0,24.444444444444,33.333333333333,11.111111111111,31.111111111111,165.311111111111
"2017","5915001","2410","VANCOUVER","LANGLEY DM",4,0,0,25,50,25,98.5
"2020","3521005","2270","TORONTO","AJAX T",1,0,0,0,0,100,128
"1992","5915055","2410","VANCOUVER","WEST VANCOUVER DM",2,0,100,0,0,0,14
"1994","2464010","1060","MONTRÉAL","DEUX-MONTAGNES V",5,40,60,0,0,0,5.2
"1995","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",5,0,20,40,0,40,67.2
"2002","2471070","1060","MONTRÉAL","PINCOURT V",2,0,100,0,0,0,6
"2004","4806021","0140","CALGARY","AIRDRIE CY",1,0,0,0,0,100,112
"2008","2452007","1060","MONTRÉAL","BROSSARD V",2,0,100,0,0,0,6
"2008","2473035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",2,0,100,0,0,0,6
"2011","2467015","1060","MONTRÉAL","SAINT-AMABLE MÉ",3,0,0,100,0,0,33.6666666666667
"2011","3502048","1265","OTTAWA","RUSSELL TP",1,0,100,0,0,0,6
"2013","2455065","1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",NA,NA,NA,NA,NA,NA,NA
"2013","2467020","1060","MONTRÉAL","CANDIAC V",1,0,100,0,0,0,6
"2018","2457010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,100,0,0,0,7
"2022","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",33,24.242424242424,45.454545454545,6.060606060606,9.090909090909,15.151515151515,39.2424242424242
"1988","2456650","1060",NA,NA,1,0,100,0,0,0,6
"1989","2465320","1060",NA,NA,3,0,100,0,0,0,8
"1989","3524015","2270","TORONTO","HALTON HILLS T",2,0,0,50,50,0,62
"1990","2463220","1060",NA,NA,4,100,0,0,0,0,5
"1991","2462510","1060",NA,NA,1,0,100,0,0,0,6
"1991","2463250","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","5915007","2410","VANCOUVER","WHITE ROCK CY",3,0,33.333333333333,66.666666666667,0,0,21.6666666666667
"1995","2473015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,8
"2000","2466025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",37,27.027027027027,64.864864864865,8.108108108108,0,0,9.37837837837838
"2005","3524001","2270","TORONTO","PICKERING CY",1,0,0,100,0,0,23
"2007","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,8
"2008","2457030","1060","MONTRÉAL","BOIS-DES-FILION V",2,100,0,0,0,0,4
"2008","2471055","1060","MONTRÉAL","POINTE-DES-CASCADES VL",1,0,100,0,0,0,6
"2008","2474005","1060","MONTRÉAL","SAINT-COLOMBAN V",5,40,40,20,0,0,14
"2012","2458012","1060","MONTRÉAL","SAINT-LAMBERT V",1,0,100,0,0,0,19
"2018","3524001","2270","TORONTO","PICKERING CY",4,0,50,0,0,50,67.5
"2021","2472032","1060","MONTRÉAL","OKA MÉ",NA,NA,NA,NA,NA,NA,NA
"2022","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"1988","3524001","2270","TORONTO","PICKERING CY",1,0,0,0,0,100,208
"1991","2472400","1060",NA,NA,1,0,100,0,0,0,6
"1994","2466130","1060",NA,NA,1,0,0,100,0,0,34
"1995","3519036","2270","TORONTO","MARKHAM T",2,0,0,0,50,50,105.5
"2001","2466020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2001","4811049","0340","EDMONTON","SPRUCE GROVE CY",2,50,50,0,0,0,11
"2007","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",7,14.285714285714,85.714285714286,0,0,0,5.85714285714286
"2012","2472020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2012","5915055","2410","VANCOUVER","WEST VANCOUVER DM",4,0,75,0,0,25,37
"2017","3518005","2270","TORONTO","AJAX T",1,0,0,0,0,100,272
"2018","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",3,0,100,0,0,0,6
"2019","5915034","2410","VANCOUVER","COQUITLAM CY",6,0,0,0,16.666666666667,83.333333333333,170.166666666667
"2022","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",2,0,50,0,0,50,64.5
"2022","3506008","1265","OTTAWA","OTTAWA CV",23,0,34.782608695652,30.434782608696,13.04347826087,21.739130434783,63.6086956521739
"1991","3519048","2270","TORONTO","NEWMARKET T",2,0,0,0,0,100,125.5
"1992","5911025","2410","VANCOUVER","BURNABY CY",8,12.5,75,12.5,0,0,11.625
"1993","2462510","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993","5915025","2410","VANCOUVER","BURNABY CY",8,0,12.5,75,0,12.5,38.875
"1994","2472005","1060","MONTRÉAL","SAINT-COLOMBAN V",5,20,80,0,0,0,5.6
"1995","3521005","2270","TORONTO","AJAX T",6,0,50,16.666666666667,16.666666666667,16.666666666667,42.8333333333333
"2003","2460028","1060","MONTRÉAL","L'ASSOMPTION V",1,0,100,0,0,0,6
"2006","2458012","1060","MONTRÉAL","SAINT-LAMBERT V",1,0,100,0,0,0,19
"2006","2466107","1060","MONTRÉAL","BEACONSFIELD V",1,100,0,0,0,0,5
"2010","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",37,8.108108108108,81.081081081081,5.405405405405,0,5.405405405405,19.4324324324324
"2011","2460013","1060","MONTRÉAL","REPENTIGNY V",13,0,92.307692307692,7.692307692308,0,0,9
"2011","5915004","2410","VANCOUVER","SURREY CY",8,0,0,62.5,25,12.5,72.125
"2012","5915025","2410","VANCOUVER","BURNABY CY",4,0,0,0,25,75,182
"2018","2472015","1060","MONTRÉAL","SAINT-AMABLE MÉ",5,80,20,0,0,0,4.4
"2020","3524015","2270","TORONTO","HALTON HILLS T",1,0,0,0,0,100,109
"1989","2456580","1060",NA,NA,1,0,0,0,0,100,115
"1994","2466035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",4,25,50,0,25,0,25.5
"1997","5915022","2410","VANCOUVER","VANCOUVER CY",40,0,22.5,50,15,12.5,54.325
"1998","2458005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"1998","2472020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2007","2475005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2007","3521005","2270","TORONTO","AJAX T",2,0,0,0,0,100,205.5
"2009","2472020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2015","5915039","2410","VANCOUVER","PORT COQUITLAM CY",2,0,0,50,50,0,46
"2018","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",3,0,33.333333333333,33.333333333333,0,33.333333333333,57
"2021","2460037","1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",1,0,100,0,0,0,6
"2022","3543007","2270","TORONTO","NEW TECUMSETH T",1,0,100,0,0,0,14
"1988","2465340","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","4811061","0340","EDMONTON","EDMONTON CY",4,0,25,50,25,0,35.75
"1992","5915022","2410","VANCOUVER","VANCOUVER CY",28,10.714285714286,28.571428571429,39.285714285714,14.285714285714,7.142857142857,41
"1995","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",2,0,0,0,100,0,71.5
"2001","2464010","1060","MONTRÉAL","DEUX-MONTAGNES V",3,0,100,0,0,0,9.33333333333333
"2008","5915020","2410","VANCOUVER","GREATER VANCOUVER A RDA",1,0,0,0,100,0,77
"2012","3520005","2270","TORONTO","AJAX T",43,2.325581395349,4.651162790698,9.302325581395,6.976744186047,76.744186046512,264.395348837209
"2013","2458227","1060","MONTRÉAL","LONGUEUIL V",31,32.258064516129,51.612903225806,16.129032258065,0,0,11.1935483870968
"2013","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",7,0,14.285714285714,42.857142857143,14.285714285714,28.571428571429,63.8571428571429
"2016","3502048","1265","OTTAWA","RUSSELL TP",1,0,0,100,0,0,28
"2018","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",11,0,18.181818181818,36.363636363636,36.363636363636,9.090909090909,70.7272727272727
"2020","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",NA,NA,NA,NA,NA,NA,NA
"1990","3521010","2270","TORONTO","BRAMPTON CY",2,0,0,0,50,50,164.5
"1994","2458025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",NA,NA,NA,NA,NA,NA,NA
"1994","2467015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,0,100,0,0,53
"1994","5913018","2410",NA,NA,3,0,0,100,0,0,42.3333333333333
"1997","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",5,20,80,0,0,0,5.6
"1997","5915004","2410","VANCOUVER","SURREY CY",4,0,0,75,25,0,51.25
"1998","2458020","1060","MONTRÉAL","CANDIAC V",2,0,100,0,0,0,7
"2005","2466023","1060","MONTRÉAL","MONTRÉAL V",145,17.931034482759,55.172413793103,17.931034482759,4.137931034483,4.827586206897,22.4758620689655
"2012","5915015","2410","VANCOUVER","RICHMOND CY",8,0,50,12.5,25,12.5,51.375
"2014","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",19,68.421052631579,31.578947368421,0,0,0,4.84210526315789
"2016","2473015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,6
"2017","5915002","2410","VANCOUVER","LANGLEY CY",1,0,0,0,100,0,70
"2019","2460005","1060","MONTRÉAL","SAINT-COLOMBAN V",3,33.333333333333,66.666666666667,0,0,0,5.33333333333333
"2019","2474005","1060","MONTRÉAL","SAINT-COLOMBAN V",25,8,76,12,0,4,17.16
"2022","3521005","2270","TORONTO","AJAX T",21,0,14.285714285714,47.619047619048,4.761904761905,33.333333333333,136.285714285714
"1991","2465700","1060",NA,NA,10,10,80,10,0,0,9.2
"1991","2473650","1060",NA,NA,1,0,100,0,0,0,6
"1992","2465200","1060",NA,NA,2,0,50,0,50,0,49
"1994","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",7,0,100,0,0,0,9.14285714285714
"1994","2460015","1060","MONTRÉAL","SAINT-AMABLE MÉ",4,50,25,25,0,0,16.25
"1994","5915007","2410","VANCOUVER","WHITE ROCK CY",1,0,100,0,0,0,12
"1997","3506014","1265",NA,NA,3,33.333333333333,66.666666666667,0,0,0,12.3333333333333
"1999","2466040","1060","MONTRÉAL","BELOEIL V",2,50,50,0,0,0,6
"2004","4806016","0140","CALGARY","CALGARY CY",32,21.875,18.75,21.875,15.625,21.875,62.5
"2007","2472010","1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,6
"2007","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,12
"2009","5915002","2410","VANCOUVER","LANGLEY CY",1,0,0,0,100,0,98
"2016","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",9,22.222222222222,77.777777777778,0,0,0,8.88888888888889
"2016","3519048","2270","TORONTO","NEWMARKET T",2,0,50,0,0,50,115.5
"2019","2471025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",3,0,66.666666666667,0,0,33.333333333333,79
"1989","2456750","1060",NA,NA,1,0,0,100,0,0,56
"1994","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",2,0,100,0,0,0,6
"1995","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",1,0,100,0,0,0,8
"1997","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",19,31.578947368421,68.421052631579,0,0,0,5.89473684210526
"1999","2460015","1060","MONTRÉAL","SAINT-AMABLE MÉ",2,0,100,0,0,0,6.5
"2000","2458020","1060","MONTRÉAL","CANDIAC V",4,0,100,0,0,0,7.75
"2012","4806019","0140","CALGARY","COCHRANE T",1,0,0,0,100,0,80
"2014","2467010","1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,12
"2018","2460005","1060","MONTRÉAL","SAINT-COLOMBAN V",3,0,100,0,0,0,6.66666666666667
"2018","2467035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",4,0,100,0,0,0,12.5
"2021","2467020","1060","MONTRÉAL","CANDIAC V",2,0,100,0,0,0,10.5
"2021","2473015","1060","MONTRÉAL","SAINT-AMABLE MÉ",2,0,50,50,0,0,23.5
"2021","5915002","2410","VANCOUVER","LANGLEY CY",2,0,0,50,50,0,66
"2021","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",3,0,0,0,0,100,255.666666666667
"1990","2465200","1060",NA,NA,6,16.666666666667,83.333333333333,0,0,0,7.5
"1990","5915022","2410","VANCOUVER","VANCOUVER CY",46,10.869565217391,50,30.434782608696,2.173913043478,6.521739130435,28.4130434782609
"1992","2466700","1060",NA,NA,2,0,100,0,0,0,9
"1998","5915034","2410","VANCOUVER","COQUITLAM CY",1,0,0,100,0,0,46
"2004","3520005","2270","TORONTO","AJAX T",24,0,33.333333333333,0,12.5,54.166666666667,172.583333333333
"2011","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",2,0,100,0,0,0,13
"2016","3524009","2270","TORONTO","MILTON T",1,0,0,0,0,100,135
"2019","2459010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,0,0,0,100,231
"2019","2472015","1060","MONTRÉAL","SAINT-AMABLE MÉ",4,0,100,0,0,0,9
"2021","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,4
"1989","2465720","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994","2457030","1060","MONTRÉAL","BOIS-DES-FILION V",1,0,100,0,0,0,12
"1995","2460015","1060","MONTRÉAL","SAINT-AMABLE MÉ",3,0,33.333333333333,66.666666666667,0,0,17.3333333333333
"1995","5915004","2410","VANCOUVER","SURREY CY",13,0,15.384615384615,61.538461538462,15.384615384615,7.692307692308,52.9230769230769
"2004","2473035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,0,100,0,0,0,11
"2007","2457025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,12
"2007","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",12,50,50,0,0,0,5
"2017","3519028","2270","TORONTO","VAUGHAN CY",1,0,0,100,0,0,60
"2022","2467040","1060","MONTRÉAL","BELOEIL V",1,0,100,0,0,0,8
"2022","5915070","2410","VANCOUVER","PITT MEADOWS CY",NA,NA,NA,NA,NA,NA,NA
"1989","2465200","1060",NA,NA,4,100,0,0,0,0,4
"1990","5915025","2410","VANCOUVER","BURNABY CY",13,0,0,76.923076923077,15.384615384615,7.692307692308,49.0769230769231
"1992","2452700","1060",NA,NA,2,0,100,0,0,0,6
"1996","3519036","2270","TORONTO","MARKHAM T",1,0,0,0,100,0,81
"2007","2464008","1060","MONTRÉAL","TERREBONNE V",24,12.5,87.5,0,0,0,7.25
"2008","2458033","1060","MONTRÉAL","LES COTEAUX MÉ",6,50,33.333333333333,16.666666666667,0,0,9.66666666666667
"2009","2466142","1060","MONTRÉAL","DOLLARD DES ORMEAUX V",1,0,100,0,0,0,12
"2014","2457010","1060","MONTRÉAL","DEUX-MONTAGNES V",3,0,100,0,0,0,12.3333333333333
"2017","5915062","2410","VANCOUVER","BOWEN ISLAND IM",NA,NA,NA,NA,NA,NA,NA
"2018","2460013","1060","MONTRÉAL","REPENTIGNY V",4,25,50,0,25,0,22.25
"2019","2466023","1060","MONTRÉAL","MONTRÉAL V",58,15.51724137931,13.793103448276,31.034482758621,13.793103448276,25.862068965517,78.6896551724138
"2019","2466117","1060","MONTRÉAL","SAINTE-ANNE DE BELLEVUE V",NA,NA,NA,NA,NA,NA,NA
"2020","5915055","2410","VANCOUVER","WEST VANCOUVER DM",NA,NA,NA,NA,NA,NA,NA
"1992","5915039","2410","VANCOUVER","PORT COQUITLAM CY",1,0,0,100,0,0,42
"2005","3519038","2270","TORONTO","RICHMOND HILL T",1,0,0,0,0,100,171
"2007","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",1,0,100,0,0,0,12
"2008","4811061","0340","EDMONTON","EDMONTON CY",20,0,10,15,50,25,74.6
"2009","3521010","2270","TORONTO","BRAMPTON CY",1,0,0,100,0,0,30
"2010","2460035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2014","5915001","2410","VANCOUVER","LANGLEY DM",3,33.333333333333,0,0,33.333333333333,33.333333333333,58.6666666666667
"2016","2457045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",2,0,100,0,0,0,12
"2017","2460028","1060","MONTRÉAL","L'ASSOMPTION V",2,0,50,50,0,0,21.5
"2020","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",8,25,50,25,0,0,17.875
"2021","2460013","1060","MONTRÉAL","REPENTIGNY V",6,0,16.666666666667,83.333333333333,0,0,25.8333333333333
"2022","2473015","1060","MONTRÉAL","SAINT-AMABLE MÉ",5,0,100,0,0,0,12.6
"1988","2465260","1060",NA,NA,9,44.444444444444,22.222222222222,22.222222222222,0,11.111111111111,25.3333333333333
"1990","2469600","1060",NA,NA,6,16.666666666667,83.333333333333,0,0,0,6.66666666666667
"1992","2456650","1060",NA,NA,2,50,0,50,0,0,14.5
"1993","5913011","2410","VANCOUVER","DELTA DM",2,0,100,0,0,0,10
"1994","3522014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",1,0,100,0,0,0,12
"1997","5915039","2410","VANCOUVER","PORT COQUITLAM CY",1,0,0,100,0,0,59
"2001","4811016","0340","EDMONTON","LEDUC CY",4,25,0,75,0,0,24.25
"2005","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",1,100,0,0,0,0,4
"2009","2460035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2013","2472015","1060","MONTRÉAL","SAINT-AMABLE MÉ",5,0,100,0,0,0,6
