"ref_yy","metcode","metro","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"2015","2270","TORONTO",114,0,35.964912280702,28.070175438596,7.894736842105,28.070175438596,107.614035087719
"2016","2410","VANCOUVER",98,4.081632653061,13.265306122449,29.591836734694,20.408163265306,32.65306122449,94.9897959183673
"1995","0140","CALGARY",4,25,50,25,0,0,15.5
"2019","2270","TORONTO",65,3.076923076923,32.307692307692,13.846153846154,7.692307692308,43.076923076923,175.169230769231
"2005","2410","VANCOUVER",67,4.477611940299,26.865671641791,32.835820895522,16.417910447761,19.402985074627,61.9701492537313
"1999","2410","VANCOUVER",29,0,24.137931034483,41.379310344828,17.241379310345,17.241379310345,59.3103448275862
"2006","1060","MONTRÉAL",387,19.121447028424,74.160206718346,3.617571059432,1.033591731266,2.067183462532,12.5607235142119
"1989","2270",NA,59,0,16.949152542373,8.474576271186,8.474576271186,66.101694915254,159.966101694915
"1996","2410","VANCOUVER",74,5.405405405405,24.324324324324,45.945945945946,14.864864864865,9.459459459459,46.4864864864865
"2017","2410","VANCOUVER",72,5.555555555556,13.888888888889,20.833333333333,26.388888888889,33.333333333333,103.277777777778
"2011","2410","VANCOUVER",60,1.666666666667,15,38.333333333333,21.666666666667,23.333333333333,70.2666666666667
"2003","1265","OTTAWA",6,0,33.333333333333,16.666666666667,33.333333333333,16.666666666667,66.1666666666667
"2005","2270","TORONTO",63,0,26.984126984127,17.460317460317,17.460317460317,38.095238095238,113.365079365079
"1994","0140","CALGARY",6,100,0,0,0,0,4
"2001","1060","MONTRÉAL",145,24.137931034483,64.137931034483,7.586206896552,2.758620689655,1.379310344828,13.1448275862069
"2006","0340","EDMONTON",33,0,39.393939393939,15.151515151515,33.333333333333,12.121212121212,51.3636363636364
"2005","1265","OTTAWA",6,0,33.333333333333,16.666666666667,0,50,82.6666666666667
"2021","1265","OTTAWA",43,9.302325581395,51.162790697674,20.93023255814,2.325581395349,16.279069767442,46.2790697674419
"2021","2270","TORONTO",90,4.444444444444,23.333333333333,27.777777777778,3.333333333333,41.111111111111,146.055555555556
"2013","2270","TORONTO",50,0,34,8,2,56,156.84
"2001","1265","OTTAWA",13,0,69.230769230769,23.076923076923,0,7.692307692308,30.8461538461538
"1993","0340","EDMONTON",15,20,13.333333333333,40,26.666666666667,0,40.7333333333333
"1993","2410","VANCOUVER",121,4.95867768595,23.140495867769,49.586776859504,11.570247933884,10.743801652893,42.8925619834711
"2001","0340","EDMONTON",27,14.814814814815,22.222222222222,48.148148148148,11.111111111111,3.703703703704,32.0740740740741
"2015","2410","VANCOUVER",55,1.818181818182,12.727272727273,27.272727272727,21.818181818182,36.363636363636,101.109090909091
"2015","0340","EDMONTON",67,7.462686567164,26.865671641791,17.910447761194,35.820895522388,11.940298507463,58.1044776119403
"1992","1060",NA,187,35.294117647059,57.754010695187,5.347593582888,1.604278074866,0,9.17647058823529
"2021","0340","EDMONTON",36,44.444444444444,27.777777777778,2.777777777778,13.888888888889,11.111111111111,30.9444444444444
"1993","1060",NA,145,19.310344827586,70.344827586207,9.655172413793,0.689655172414,0,10.2689655172414
"2015","1265","OTTAWA",18,5.555555555556,66.666666666667,11.111111111111,0,16.666666666667,40.3333333333333
"2009","0340","EDMONTON",9,11.111111111111,55.555555555556,11.111111111111,22.222222222222,0,29.6666666666667
"1994","2270","TORONTO",28,14.285714285714,25,28.571428571429,14.285714285714,17.857142857143,48.3571428571429
"1996","1265",NA,6,33.333333333333,66.666666666667,0,0,0,9.66666666666667
"2022","0340","EDMONTON",40,45,10,10,15,20,54.675
"1992","0140","CALGARY",8,50,25,25,0,0,15
"1997","1265",NA,5,20,80,0,0,0,13.8
"2002","2270","TORONTO",38,2.631578947368,5.263157894737,34.210526315789,10.526315789474,47.368421052632,124.157894736842
"2016","2270","TORONTO",60,0,26.666666666667,10,6.666666666667,56.666666666667,203.883333333333
"2022","1060","MONTRÉAL",285,14.035087719298,50.526315789474,14.385964912281,7.017543859649,14.035087719298,41.080701754386
"1992","1265",NA,38,7.894736842105,57.894736842105,15.789473684211,15.789473684211,2.631578947368,27.3157894736842
"2004","2410","VANCOUVER",71,4.225352112676,19.718309859155,42.253521126761,12.676056338028,21.12676056338,68.4225352112676
"2018","0140","CALGARY",37,5.405405405405,43.243243243243,5.405405405405,24.324324324324,21.621621621622,72.2972972972973
"2003","1060","MONTRÉAL",306,22.222222222222,67.647058823529,6.535947712418,1.960784313725,1.633986928105,13.6209150326797
"2000","1060","MONTRÉAL",129,15.503875968992,78.294573643411,3.875968992248,1.550387596899,0.77519379845,11.6046511627907
"2004","2270","TORONTO",35,0,25.714285714286,5.714285714286,17.142857142857,51.428571428571,157.685714285714
"2009","0140","CALGARY",5,60,0,40,0,0,17.6
"2017","2270","TORONTO",98,0,46.938775510204,20.408163265306,10.204081632653,22.448979591837,104.673469387755
"2006","0140","CALGARY",38,13.157894736842,18.421052631579,31.578947368421,15.789473684211,21.052631578947,64.8947368421053
"1996","0140","CALGARY",8,25,37.5,25,12.5,0,27.875
"2014","2410","VANCOUVER",64,4.6875,12.5,32.8125,25,25,76.578125
"2002","0340","EDMONTON",32,3.125,9.375,40.625,25,21.875,69.75
"2015","0140","CALGARY",50,18,20,22,20,20,57.26
"1998","2410","VANCOUVER",51,0,17.647058823529,47.058823529412,17.647058823529,17.647058823529,65.7254901960784
"2013","0340","EDMONTON",50,0,18,28,38,16,68.12
"2008","2270","TORONTO",62,0,4.838709677419,27.41935483871,3.225806451613,64.516129032258,182.354838709677
"2008","2410","VANCOUVER",72,0,5.555555555556,37.5,26.388888888889,30.555555555556,89.6111111111111
"2012","1265","OTTAWA",39,0,61.538461538462,10.25641025641,5.128205128205,23.076923076923,56.1794871794872
"1991","0340","EDMONTON",3,0,66.666666666667,33.333333333333,0,0,18.6666666666667
"1995","2270",NA,31,3.225806451613,25.806451612903,22.58064516129,19.354838709677,29.032258064516,79.7096774193548
"2012","1060","MONTRÉAL",332,17.469879518072,65.963855421687,11.746987951807,2.10843373494,2.710843373494,17.7861445783133
"2020","0340","EDMONTON",29,31.034482758621,17.241379310345,3.448275862069,34.48275862069,13.793103448276,54.3103448275862
"1990","1060",NA,354,12.71186440678,77.118644067797,8.19209039548,0.564971751412,1.412429378531,12.5310734463277
"2011","2270","TORONTO",55,0,18.181818181818,3.636363636364,5.454545454545,72.727272727273,218.818181818182
"2016","1060","MONTRÉAL",227,28.63436123348,55.066079295154,7.04845814978,2.643171806167,6.607929515419,21.8546255506608
"1996","0340","EDMONTON",1,0,0,100,0,0,39
"2011","0340","EDMONTON",12,0,0,33.333333333333,50,16.666666666667,78.8333333333333
"2004","1265","OTTAWA",13,15.384615384615,38.461538461538,15.384615384615,23.076923076923,7.692307692308,41.3076923076923
"2006","2410","VANCOUVER",69,2.898550724638,10.144927536232,37.68115942029,24.63768115942,24.63768115942,76.6231884057971
"2019","0140","CALGARY",41,19.512195121951,43.90243902439,14.634146341463,9.756097560976,12.19512195122,41.4390243902439
"1993","2270","TORONTO",31,0,22.58064516129,38.709677419355,12.903225806452,25.806451612903,62.3225806451613
"2000","1265","OTTAWA",4,25,50,0,0,25,83.25
"1993","0140","CALGARY",7,14.285714285714,71.428571428571,14.285714285714,0,0,14.4285714285714
"2000","0140","CALGARY",37,24.324324324324,18.918918918919,32.432432432432,8.108108108108,16.216216216216,40.7027027027027
"1999","2270","TORONTO",39,7.692307692308,5.128205128205,25.641025641026,15.384615384615,46.153846153846,119.641025641026
"2014","0340","EDMONTON",35,14.285714285714,37.142857142857,20,20,8.571428571429,42.4285714285714
"2007","1265","OTTAWA",30,3.333333333333,86.666666666667,0,3.333333333333,6.666666666667,19.5333333333333
"2009","2270","TORONTO",40,7.5,2.5,30,7.5,52.5,162.45
"2010","1265","OTTAWA",27,0,88.888888888889,11.111111111111,0,0,14
"2004","0140","CALGARY",33,21.212121212121,18.181818181818,21.212121212121,15.151515151515,24.242424242424,64
"2019","1060","MONTRÉAL",310,17.41935483871,51.290322580645,16.451612903226,5.161290322581,9.677419354839,34.7354838709677
"2010","1060","MONTRÉAL",391,9.718670076726,78.260869565217,7.928388746803,1.790281329923,2.30179028133,14.8286445012788
"1988","1265",NA,5,0,20,20,60,0,55.4
"1995","2410","VANCOUVER",96,7.291666666667,26.041666666667,42.708333333333,11.458333333333,12.5,46.6145833333333
"2018","0340","EDMONTON",16,6.25,31.25,31.25,31.25,0,41.1875
"1994","0340","EDMONTON",10,0,10,40,30,20,57.6
"2022","2270","TORONTO",86,0,12.790697674419,23.255813953488,12.790697674419,51.162790697674,156.03488372093
"1989","2410","VANCOUVER",112,12.5,26.785714285714,41.071428571429,15.178571428571,4.464285714286,35.2589285714286
"2020","1265","OTTAWA",35,2.857142857143,74.285714285714,2.857142857143,0,20,37.1714285714286
"2000","0340","EDMONTON",17,11.764705882353,11.764705882353,41.176470588235,23.529411764706,11.764705882353,52.4705882352941
"1996","2270","TORONTO",25,4,20,40,8,28,60.08
"2003","0140","CALGARY",33,9.090909090909,15.151515151515,42.424242424242,12.121212121212,21.212121212121,60.2121212121212
"1995","0340","EDMONTON",8,0,0,62.5,37.5,0,56.5
"1990","0140","CALGARY",5,0,20,80,0,0,35.8
"2021","1060","MONTRÉAL",290,9.310344827586,52.758620689655,16.551724137931,6.206896551724,15.172413793103,48.0206896551724
"1988","2270","TORONTO",4,0,25,0,25,50,123.5
"2012","2270","TORONTO",70,7.142857142857,11.428571428571,7.142857142857,5.714285714286,68.571428571429,211.942857142857
"2016","0340","EDMONTON",22,4.545454545455,13.636363636364,31.818181818182,36.363636363636,13.636363636364,66.4545454545455
"2000","2410","VANCOUVER",31,0,32.258064516129,32.258064516129,22.58064516129,12.903225806452,53.1290322580645
"2008","0340","EDMONTON",26,0,7.692307692308,23.076923076923,42.307692307692,26.923076923077,74.9230769230769
"1997","0140","CALGARY",14,14.285714285714,21.428571428571,21.428571428571,35.714285714286,7.142857142857,43.8571428571429
"2007","0340","EDMONTON",28,3.571428571429,14.285714285714,28.571428571429,42.857142857143,10.714285714286,60.0714285714286
