reference_period,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2007,Calgary,0140,5.0,3.0,6960.0,103,67.57,1.83,58.82
2007,Calgary,0140,5.0,1.0,10.0,2,5.0,1.0,0.08
2007,Calgary,0140,4.0,3.0,1488.0,245,6.07,0.0,12.57
2007,Calgary,0140,2.0,1.0,898.0,449,2.0,0.0,7.59
2008,Calgary,0140,2.0,1.0,612.0,306,2.0,0.0,5.03
2008,Calgary,0140,2.0,3.0,16.0,8,2.0,0.0,0.13
2008,Calgary,0140,4.0,3.0,837.0,149,5.62,0.05,6.87
2008,Calgary,0140,1.0,2.0,1.0,1,1.0,0.0,0.01
2008,Calgary,0140,4.0,1.0,12.0,3,4.0,0.0,0.1
2008,Calgary,0140,5.0,3.0,6782.0,80,84.78,4.06,55.69
2008,Calgary,0140,5.0,2.0,368.0,4,92.0,0.0,3.02
2008,Calgary,0140,1.0,1.0,2588.0,2588,1.0,0.0,21.25
2009,Calgary,0140,5.0,2.0,337.0,4,84.25,3.25,2.72
2009,Calgary,0140,1.0,1.0,3033.0,3033,1.0,0.0,24.51
2009,Calgary,0140,5.0,1.0,15.0,1,15.0,0.0,0.12
2009,Calgary,0140,4.0,3.0,407.0,75,5.43,0.0,3.29
2009,Calgary,0140,2.0,3.0,10.0,5,2.0,0.0,0.08
2009,Calgary,0140,4.0,1.0,64.0,12,5.33,0.0,0.52
2009,Calgary,0140,5.0,3.0,4858.0,48,101.21,6.54,39.25
2009,Calgary,0140,2.0,1.0,466.0,233,2.0,0.0,3.77
2010,Calgary,0140,1.0,1.0,2441.0,2441,1.0,0.0,19.38
2010,Calgary,0140,4.0,3.0,890.0,157,5.67,0.0,7.06
2010,Calgary,0140,2.0,1.0,542.0,271,2.0,0.0,4.3
2010,Calgary,0140,5.0,3.0,2907.0,46,63.2,5.15,23.08
2010,Calgary,0140,5.0,1.0,15.0,1,15.0,0.0,0.12
2010,Calgary,0140,5.0,2.0,382.0,6,63.67,0.5,3.03
2010,Calgary,0140,2.0,3.0,16.0,8,2.0,0.0,0.13
2010,Calgary,0140,4.0,1.0,6.0,2,3.0,0.0,0.05
2011,Calgary,0140,4.0,3.0,974.0,168,5.8,0.02,7.52
2011,Calgary,0140,2.0,1.0,628.0,314,2.0,0.0,4.85
2011,Calgary,0140,2.0,3.0,2.0,1,2.0,0.0,0.02
2011,Calgary,0140,1.0,1.0,2694.0,2694,1.0,0.0,20.8
2011,Calgary,0140,4.0,1.0,10.0,3,3.33,0.0,0.08
2011,Calgary,0140,5.0,2.0,546.0,6,91.0,5.0,4.22
2011,Calgary,0140,5.0,3.0,3837.0,54,71.06,3.78,29.63
2012,Calgary,0140,1.0,1.0,3286.0,3286,1.0,0.0,24.53
2012,Calgary,0140,4.0,1.0,14.0,3,4.67,0.0,0.1
2012,Calgary,0140,4.0,3.0,1407.0,235,5.99,0.03,10.51
2012,Calgary,0140,2.0,1.0,792.0,396,2.0,0.0,5.91
2012,Calgary,0140,2.0,3.0,18.0,9,2.0,0.0,0.13
2012,Calgary,0140,5.0,2.0,975.0,8,121.88,3.0,7.28
2012,Calgary,0140,5.0,3.0,4424.0,74,59.78,3.68,33.03
2013,Calgary,0140,1.0,1.0,3575.0,3575,1.0,0.0,25.85
2013,Calgary,0140,5.0,3.0,4776.0,100,47.76,3.37,34.53
2013,Calgary,0140,2.0,3.0,16.0,8,2.0,0.0,0.12
2013,Calgary,0140,4.0,3.0,1554.0,257,6.05,0.01,11.24
2013,Calgary,0140,5.0,2.0,953.0,10,95.3,2.0,6.89
2013,Calgary,0140,2.0,1.0,974.0,487,2.0,0.0,7.04
2013,Calgary,0140,4.0,1.0,18.0,3,6.0,0.0,0.13
2014,Calgary,0140,5.0,3.0,7045.0,121,58.22,5.93,49.93
