reference_period,ref_qq,stcan_cmacode,metro,metcode,FSA,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
2007-07-01,3,825,Calgary,0140,T2B,6.0,,,1,6.0,0.0,10.0,4.0
2007-07-01,3,825,Calgary,0140,T3A,3.0,,,3,1.0,0.0,11.0,0.0
2007-07-01,3,825,Calgary,0140,T2N,24.0,,,18,1.33,0.0,14.555555555555555,0.0
2007-07-01,3,825,Calgary,0140,T2C,69.0,,,69,1.0,0.0,6.044117647058823,1.0
2007-07-01,3,825,Calgary,0140,T2K,4.0,,,2,2.0,0.0,17.5,2.0
2007-08-01,3,825,Calgary,0140,T2G,2.0,,,2,1.0,0.0,13.5,1.0
2007-08-01,3,825,Calgary,0140,T3E,59.0,,,36,1.64,0.06,11.416666666666666,1.0
2007-08-01,3,825,Calgary,0140,T3B,1.0,,,1,1.0,0.0,10.0,1.0
2007-08-01,3,825,Calgary,0140,nan,2844.0,,,2156,1.32,0.01,7.591846298031865,1.0
2007-08-01,3,825,Calgary,0140,T2L,1.0,,,1,1.0,0.0,28.0,2.0
2007-09-01,3,825,Calgary,0140,T2T,102.0,,,33,3.09,0.0,13.606060606060606,0.0
2007-09-01,3,825,Calgary,0140,T3H,3.0,,,3,1.0,0.0,27.0,4.0
2007-09-01,3,825,Calgary,0140,T3G,1.0,,,1,1.0,0.0,7.0,0.0
2007-09-01,3,825,Calgary,0140,T4C,31.0,,,31,1.0,0.0,4.8,0.0
2007-09-01,3,825,Calgary,0140,T2M,22.0,,,12,1.83,0.0,15.25,1.0
2007-10-01,4,825,Calgary,0140,T1Y,8.0,,,4,2.0,0.0,5.0,0.0
2007-10-01,4,825,Calgary,0140,nan,2595.0,,,2226,1.17,0.0,7.744902582691436,1.0
2007-10-01,4,825,Calgary,0140,T3E,33.0,,,24,1.38,0.0,10.541666666666666,1.0
2007-10-01,4,825,Calgary,0140,T2C,75.0,,,75,1.0,0.0,6.666666666666667,1.0
2007-10-01,4,825,Calgary,0140,T3C,4.0,,,4,1.0,0.0,17.25,1.0
2007-10-01,4,825,Calgary,0140,T2P,77.0,,,2,38.5,11.5,34.5,11.0
2007-10-01,4,825,Calgary,0140,T2Y,13.0,,,13,1.0,0.0,13.923076923076923,1.0
2007-10-01,4,825,Calgary,0140,T2V,13.0,,,7,1.86,0.0,12.571428571428571,2.0
2007-10-01,4,825,Calgary,0140,T3H,2.0,,,2,1.0,0.0,23.0,5.0
2007-11-01,4,825,Calgary,0140,T2G,5.0,,,4,1.25,0.0,14.75,0.0
2007-11-01,4,825,Calgary,0140,T3B,6.0,,,4,1.5,0.0,11.0,0.0
2007-11-01,4,825,Calgary,0140,T2L,2.0,,,2,1.0,0.0,14.5,0.0
2007-11-01,4,825,Calgary,0140,T0M,3.0,,,3,1.0,0.0,7.0,3.0
2007-11-01,4,825,Calgary,0140,T4C,55.0,,,54,1.02,0.0,6.1,0.0
2007-11-01,4,825,Calgary,0140,T2N,40.0,,,31,1.29,0.0,15.580645161290322,1.0
2007-12-01,4,825,Calgary,0140,T2M,18.0,,,9,2.0,0.0,14.777777777777779,1.0
2007-12-01,4,825,Calgary,0140,T2E,65.0,,,27,2.41,0.11,14.518518518518519,1.0
2007-12-01,4,825,Calgary,0140,T2K,6.0,,,4,1.5,0.0,16.5,1.0
2007-12-01,4,825,Calgary,0140,T2S,5.0,,,5,1.0,0.0,21.6,1.0
2007-12-01,4,825,Calgary,0140,T2T,21.0,,,15,1.4,0.0,14.8,1.0
2008-01-01,1,825,Calgary,0140,T2Y,22.0,,,22,1.0,0.0,14.545454545454545,2.0
2008-01-01,1,825,Calgary,0140,T2B,3.0,,,3,1.0,0.0,16.333333333333332,0.0
2008-01-01,1,825,Calgary,0140,T3E,94.0,,,62,1.52,0.03,11.629032258064516,1.0
2008-01-01,1,825,Calgary,0140,T2K,2.0,,,1,2.0,0.0,16.0,0.0
2008-01-01,1,825,Calgary,0140,T2L,3.0,,,3,1.0,0.0,22.0,2.0
2008-01-01,1,825,Calgary,0140,T2H,13.0,,,3,4.33,0.0,17.0,2.0
2008-01-01,1,825,Calgary,0140,T2X,2.0,,,2,1.0,0.0,15.0,3.0
2008-01-01,1,825,Calgary,0140,T2S,11.0,,,11,1.0,0.0,19.0,1.0
2008-01-01,1,825,Calgary,0140,T2A,5.0,,,3,1.67,0.0,11.0,0.0
2008-02-01,1,825,Calgary,0140,T2E,40.0,,,22,1.82,0.23,15.409090909090908,1.0
2008-02-01,1,825,Calgary,0140,T3C,14.0,,,11,1.27,0.0,14.454545454545455,0.0
2008-02-01,1,825,Calgary,0140,T2J,1.0,,,1,1.0,0.0,28.0,0.0
2008-02-01,1,825,Calgary,0140,T2V,10.0,,,8,1.25,0.0,13.25,0.0
2008-02-01,1,825,Calgary,0140,T3B,26.0,,,20,1.3,0.0,9.8,1.0
2008-02-01,1,825,Calgary,0140,T2G,238.0,,,6,39.67,6.0,22.333333333333332,2.0
2008-02-01,1,825,Calgary,0140,T2P,225.0,,,2,112.5,14.0,24.0,7.0
2008-02-01,1,825,Calgary,0140,T2M,28.0,,,17,1.65,0.0,13.470588235294118,0.0
2008-02-01,1,825,Calgary,0140,T2N,58.0,,,45,1.29,0.0,13.88888888888889,0.0
2008-02-01,1,825,Calgary,0140,nan,3027.0,,,2134,1.42,0.0,7.802550779404818,1.0
2008-02-01,1,825,Calgary,0140,T2T,128.0,,,65,1.97,0.15,15.353846153846154,0.0
2008-03-01,1,825,Calgary,0140,T4C,33.0,,,33,1.0,0.0,5.03125,0.0
2008-03-01,1,825,Calgary,0140,T0M,1.0,,,1,1.0,0.0,7.0,2.0
2008-03-01,1,825,Calgary,0140,T2C,135.0,,,76,1.78,0.0,6.144736842105263,1.0
2008-04-01,2,825,Calgary,0140,T2H,13.0,,,3,4.33,0.0,16.666666666666668,1.0
2008-04-01,2,825,Calgary,0140,T2A,67.0,,,3,22.33,0.0,13.666666666666666,0.0
2008-04-01,2,825,Calgary,0140,T2V,3.0,,,3,1.0,0.0,23.0,0.0
2008-04-01,2,825,Calgary,0140,T2N,79.0,,,19,4.16,0.32,17.63157894736842,1.0
2008-04-01,2,825,Calgary,0140,T4C,63.0,,,62,1.02,0.0,5.838709677419355,0.0
2008-04-01,2,825,Calgary,0140,nan,2337.0,,,1573,1.49,0.01,7.73538856775851,1.0
2008-05-01,2,825,Calgary,0140,T3B,15.0,,,13,1.15,0.0,7.769230769230769,2.0
2008-05-01,2,825,Calgary,0140,T2G,7.0,,,6,1.17,0.0,17.333333333333332,1.0
2008-05-01,2,825,Calgary,0140,T3C,157.0,,,3,52.33,0.0,18.333333333333332,1.0
