reference_period,ref_qq,metcode,metro,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,population,comp_per_10kpop
1999-01-01,1,0340,Edmonton,5876.0,,,4164,1.41,0.0,4.366706875753921,0.27,946094.38,62.11
1999-07-01,3,0340,Edmonton,6620.0,,,3984,1.66,0.0,4.490331491712707,0.33,946094.38,69.97
1999-05-01,2,0340,Edmonton,4416.0,,,3376,1.31,0.0,4.202578268876612,0.35,946094.38,46.68
2000-10-01,4,0340,Edmonton,6620.0,,,5252,1.26,0.01,4.54463480613165,0.29,959720.91,68.98
2000-01-01,1,0340,Edmonton,6572.0,,,4644,1.42,0.0,4.687184661957619,0.3,959720.91,68.48
2000-07-01,3,0340,Edmonton,7000.0,,,4392,1.59,0.0,4.820426487093154,0.28,959720.91,72.94
2000-04-01,2,0340,Edmonton,5276.0,,,3616,1.46,0.0,4.618263473053892,0.33,959720.91,54.97
2001-01-01,1,0340,Edmonton,6360.0,,,3788,1.68,0.0,4.523926380368098,0.29,982239.87,64.75
2001-06-01,2,0340,Edmonton,7044.0,,,4368,1.61,0.02,4.623668639053254,0.47,982239.87,71.71
2001-12-01,4,0340,Edmonton,8884.0,,,6064,1.47,0.0,4.353932584269663,0.26,982239.87,90.45
2001-07-01,3,0340,Edmonton,7684.0,,,5200,1.48,0.0,4.2449908925318764,0.29,982239.87,78.23
2002-06-01,2,0340,Edmonton,7984.0,,,5276,1.51,0.0,4.591205211726384,0.41,998763.73,79.94
2002-10-01,4,0340,Edmonton,11756.0,,,7648,1.54,0.0,5.187848383500557,0.46,998763.73,117.71
2002-02-01,1,0340,Edmonton,6424.0,,,3956,1.62,0.0,4.528898582333697,0.37,998763.73,64.32
2002-09-01,3,0340,Edmonton,8292.0,,,6564,1.26,0.0,4.935973597359736,0.35,998763.73,83.02
2003-07-01,3,0340,Edmonton,12808.0,,,7888,1.62,0.0,5.6462655601659755,0.48,1014137.09,126.29
2003-06-01,2,0340,Edmonton,14004.0,,,7088,1.98,0.0,5.465197215777263,0.49,1014137.09,138.09
2003-11-01,4,0340,Edmonton,11380.0,,,8484,1.34,0.0,5.466666666666667,0.55,1014137.09,112.21
2003-02-01,1,0340,Edmonton,8156.0,,,6844,1.19,0.0,5.208383233532934,0.4,1014137.09,80.42
2004-10-01,4,0340,Edmonton,16112.0,,,8272,1.95,0.03,5.449348044132397,0.48,1038096.58,155.21
2004-08-01,3,0340,Edmonton,12396.0,,,6428,1.93,0.01,5.666446062210457,0.63,1038096.58,119.41
2004-06-01,2,0340,Edmonton,10772.0,,,7044,1.53,0.01,5.7272727272727275,0.46,1038096.58,103.77
2004-02-01,1,0340,Edmonton,8640.0,,,6544,1.32,0.0,5.5865504358655045,0.45,1038096.58,83.23
2005-10-01,4,0340,Edmonton,11300.0,,,8264,1.37,0.03,5.7272727272727275,0.54,1070187.23,105.59
2005-03-01,1,0340,Edmonton,10056.0,,,6604,1.52,0.01,5.309375,0.57,1070187.23,93.96
2005-07-01,3,0340,Edmonton,11988.0,,,8236,1.46,0.01,5.520937188434696,0.52,1070187.23,112.02
2005-05-01,2,0340,Edmonton,11816.0,,,7100,1.66,0.01,5.247828604516503,0.54,1070187.23,110.41
2006-04-01,2,0340,Edmonton,13628.0,,,7956,1.71,0.03,6.001530612244898,0.47,1100795.81,123.8
2006-03-01,1,0340,Edmonton,10228.0,,,7184,1.42,0.02,5.8619318181818185,0.57,1100795.81,92.91
2006-08-01,3,0340,Edmonton,13444.0,,,8564,1.57,0.03,6.265750828990999,0.52,1100795.81,122.13
2006-10-01,4,0340,Edmonton,11400.0,,,7612,1.5,0.02,7.210639441160667,0.45,1100795.81,103.56
2007-12-01,4,0340,Edmonton,11640.0,,,8988,1.3,0.01,9.216621253405995,0.86,1127964.75,103.19
2007-01-01,1,0340,Edmonton,13336.0,,,8080,1.65,0.02,7.846424974823766,0.47,1127964.75,118.23
2007-07-01,3,0340,Edmonton,11192.0,,,8628,1.3,0.01,8.637750238322212,0.76,1127964.75,99.22
2007-04-01,2,0340,Edmonton,11188.0,,,7940,1.41,0.01,7.936825885978428,0.61,1127964.75,99.19
2008-09-01,3,0340,Edmonton,12528.0,,,7664,1.63,0.02,10.856914041644421,0.84,1160416.13,107.96
2008-05-01,2,0340,Edmonton,12284.0,,,8208,1.5,0.01,9.969518190757128,0.78,1160416.13,105.86
2008-10-01,4,0340,Edmonton,8620.0,,,5372,1.6,0.0,11.929110105580694,0.95,1160416.13,74.28
2008-02-01,1,0340,Edmonton,11436.0,,,7544,1.52,0.01,9.610991379310345,0.84,1160416.13,98.55
2009-05-01,2,0340,Edmonton,6792.0,,,3332,2.04,0.01,9.303217821782178,0.9,1181277.91,57.5
2009-08-01,3,0340,Edmonton,13600.0,,,3668,3.71,0.12,10.510227272727272,0.95,1181277.91,115.13
2009-12-01,4,0340,Edmonton,7396.0,,,4184,1.77,0.02,9.428282828282828,1.48,1181277.91,62.61
2009-01-01,1,0340,Edmonton,9140.0,,,4196,2.18,0.02,10.4,0.97,1181277.91,77.37
2010-01-01,1,0340,Edmonton,7744.0,,7744.0,4900,1.58,0.03,6.821782178217822,0.84,1201957.38,64.43
2010-04-01,2,0340,Edmonton,9172.0,,9172.0,5596,1.64,0.01,6.577567370721049,0.81,1201957.38,76.31
