"ref_yy","metcode","metro","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"2021","0140","CALGARY",119,49.579831932773,47.058823529412,1.680672268908,0.840336134454,0.840336134454,4.11764705882353
"2021","0340","EDMONTON",102,70.588235294118,25.490196078431,2.941176470588,0.980392156863,0,2.48039215686275
"2021","1060","MONTRÉAL",869,78.596087456847,11.162255466053,8.630609896433,0.230149597238,1.380897583429,4.0126582278481
"2021","1265","OTTAWA",94,72.340425531915,12.765957446809,11.702127659574,3.191489361702,0,5.13829787234043
"2021","2270","TORONTO",180,30,18.888888888889,25.555555555556,8.888888888889,16.666666666667,14.4166666666667
"2021","2410","VANCOUVER",206,21.359223300971,50.970873786408,13.106796116505,5.339805825243,9.223300970874,9.88834951456311
"2022","0140","CALGARY",153,58.169934640523,37.254901960784,3.921568627451,0,0.653594771242,3.64705882352941
"2022","0340","EDMONTON",93,60.215053763441,32.258064516129,5.376344086022,2.150537634409,0,3.40860215053763
"2022","1060","MONTRÉAL",642,74.299065420561,15.109034267913,9.190031152648,1.246105919003,0.155763239875,3.94704049844237
"2022","1265","OTTAWA",84,53.571428571429,16.666666666667,19.047619047619,9.52380952381,1.190476190476,7.26190476190476
"2022","2270","TORONTO",187,17.112299465241,24.064171122995,36.898395721925,5.347593582888,16.577540106952,14.9411764705882
"2022","2410","VANCOUVER",202,21.782178217822,46.534653465347,15.346534653465,6.435643564356,9.90099009901,10.9009900990099
"2023","0140","CALGARY",184,57.608695652174,39.130434782609,2.717391304348,0.54347826087,0,3.26086956521739
"2023","0340","EDMONTON",114,71.929824561404,25.438596491228,1.754385964912,0,0.877192982456,2.18421052631579
"2023","1060","MONTRÉAL",447,75.167785234899,17.002237136465,6.487695749441,1.342281879195,0,3.6420581655481
"2023","1265","OTTAWA",81,56.79012345679,22.222222222222,11.111111111111,9.876543209877,0,6.25925925925926
"2023","2270","TORONTO",177,14.124293785311,23.728813559322,32.768361581921,12.994350282486,16.38418079096,16.1468926553672
"2023","2410","VANCOUVER",279,18.279569892473,53.405017921147,13.620071684588,3.584229390681,11.111111111111,10.3082437275986
