"","reference_period_qq","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","underconstr_per_10kpop"
"142","2000-1","0140","March 31, 2000","CALGARY",6585,2759,2.38673432403045,0.0184849583182312,2000,1,"956039.881",68.8778797921297
"143","2000-1","0610","March 31, 2000","HAMILTON",2351,732,3.21174863387978,0.0218579234972678,2000,1,"676835.8369999999",34.7351583867153
"144","2000-1","1265","March 31, 2000",NA,1618,938,1.72494669509595,0,2000,1,"819438.1455849969",19.7452365223358
"145","2000-2","0140","June 30, 2000","CALGARY",6520,2940,2.21768707482993,0.0319727891156463,2000,2,"962283.6529999999",67.7554895552195
"146","2000-2","0610","June 30, 2000","HAMILTON",2158,808,2.67079207920792,0.0198019801980198,2000,2,"679922.466",31.7389130071781
"147","2000-2","1265","June 30, 2000",NA,2207,1438,1.53477051460362,0,2000,2,"823885.622192311",26.7876989299474
"148","2000-3","0140","September 30, 2000","CALGARY",6502,2749,2.36522371771553,0.0505638413968716,2000,3,"967983.1349999999",67.1705917686262
"149","2000-3","0610","September 30, 2000","HAMILTON",1752,799,2.1927409261577,0.0200250312891114,2000,3,"684796.564",25.5842405190573
"150","2000-3","1265","September 30, 2000",NA,2690,1736,1.54953917050691,0,2000,3,"828685.1077410369",32.4610636159836
"151","2000-4","0140","December 31, 2000","CALGARY",6888,2689,2.5615470435106,0.0520639642989959,2000,4,"974556.104",70.6783321322258
"152","2000-4","0610","December 31, 2000","HAMILTON",1535,813,1.88806888068881,0.017220172201722,2000,4,"687808.674",22.3172527190316
"153","2000-4","1265","December 31, 2000",NA,2843,1734,1.63956170703576,0,2000,4,"833841.656138415",34.0952023573175
"154","2001-1","0140","March 31, 2001","CALGARY",6156,2628,2.34246575342466,0.0426179604261796,2001,1,"981411.8200000001",62.7259614623349
"155","2001-1","0610","March 31, 2001","HAMILTON",1526,713,2.14025245441795,0.0196353436185133,2001,1,"690479.402",22.1005868615325
"156","2001-1","1265","March 31, 2001","OTTAWA",3337,1867,1.78735940010712,0,2001,1,"839304.906348573",39.7590908233545
"157","2001-2","0140","June 30, 2001","CALGARY",6488,3111,2.08550305368049,0.0241080038572806,2001,2,"988550.284",65.6314615959384
"158","2001-2","0610","June 30, 2001","HAMILTON",1561,742,2.10377358490566,0,2001,2,"692808.748",22.5314706909561
"159","2001-2","1265","June 30, 2001","OTTAWA",3515,2183,1.61016949152542,0.00274851122308749,2001,2,"844802.837563184",41.6073413074575
"160","2001-3","0140","September 30, 2001","CALGARY",6544,3429,1.90842811315252,0.015748031496063,2001,3,"997871.53",65.5795841775344
"161","2001-3","0610","September 30, 2001","HAMILTON",1749,848,2.0625,0,2001,3,"694096.363",25.1982302924126
"162","2001-3","1265","September 30, 2001","OTTAWA",3343,2012,1.66153081510934,0.00298210735586481,2001,3,"850008.014030807",39.3290409598284
"163","2001-4","0140","December 31, 2001","CALGARY",7164,3437,2.08437590922316,0.0165842304335176,2001,4,"1004815.47",71.2966730100204
"164","2001-4","0610","December 31, 2001","HAMILTON",1626,795,2.04528301886792,0.0050314465408805,2001,4,"696023.087",23.3612940485694
"165","2001-4","1265","December 31, 2001","OTTAWA",2598,1493,1.74012056262559,0.00401875418620228,2001,4,"854593",30.400436231048
"166","2002-1","0140","March 31, 2002","CALGARY",7022,3492,2.01088201603666,0.00945017182130584,2002,1,"1011282.15",69.4366057978972
"167","2002-1","0610","March 31, 2002","HAMILTON",1464,774,1.89147286821705,0,2002,1,"697888.57",20.9775609306798
"168","2002-1","1265","March 31, 2002","OTTAWA",2808,1298,2.1633281972265,0.0115562403697997,2002,1,"857893.864835988",32.7313216132724
"169","2002-2","0140","June 30, 2002","CALGARY",7983,4285,1.86301050175029,0.00466744457409568,2002,2,"1017271.56",78.4746208770449
"170","2002-2","0610","June 30, 2002","HAMILTON",1604,891,1.80022446689113,0,2002,2,"699692.812",22.9243458342116
"171","2002-2","1265","June 30, 2002","OTTAWA",3866,1753,2.20536223616657,0.00855675984027382,2002,2,"861156.283737581",44.8931288432435
"172","2002-3","0140","September 30, 2002","CALGARY",8429,4486,1.87895675434686,0.00156041016495765,2002,3,"1021334.52",82.5292774790379
"173","2002-3","0610","September 30, 2002","HAMILTON",1802,1016,1.77362204724409,0,2002,3,"701412.691",25.6910093461654
"174","2002-3","1265","September 30, 2002","OTTAWA",4252,2266,1.87643424536628,0.00661959399823478,2002,3,"864341.810770383",49.1935013095134
"175","2002-4","0140","December 31, 2002","CALGARY",8661,4474,1.9358515869468,0.000670540902995083,2002,4,"1026949.07",84.3371911325651
"176","2002-4","0610","December 31, 2002","HAMILTON",1825,1055,1.72985781990521,0,2002,4,"703103.699",25.9563418965884
"177","2002-4","1265","December 31, 2002","OTTAWA",4046,1877,2.1555673947789,0,2002,4,"867412",46.6445011136576
"178","2003-1","0140","March 31, 2003","CALGARY",9148,4439,2.06082451002478,0.000675827889164226,2003,1,"1032666.0199999999",88.5862401088786
