"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"111","2006-1","1060","H9S","March 31, 2006","MONTRÉAL",0,1,0,0
"112","2006-1","1060","H9W","March 31, 2006","MONTRÉAL",0,1,0,0
"113","2006-1","1060","H9X","March 31, 2006","MONTRÉAL",1,2,0.5,0
"114","2006-1","1060","J0L","March 31, 2006","MONTRÉAL",6,16,0.375,0
"115","2006-1","1060","J0N","March 31, 2006","MONTRÉAL",26,23,1.1304347826087,0.0869565217391304
"116","2006-1","1060","J0P","March 31, 2006","MONTRÉAL",0,2,0,0
"117","2006-1","1060","J3G","March 31, 2006","MONTRÉAL",7,11,0.636363636363636,0.181818181818182
"118","2006-1","1060","J3H","March 31, 2006","MONTRÉAL",12,12,1,0.333333333333333
"119","2006-1","1060","J3L","March 31, 2006","MONTRÉAL",15,25,0.6,0.24
"120","2006-1","1060","J3N","March 31, 2006","MONTRÉAL",2,3,0.666666666666667,0
"121","2006-1","1060","J3X","March 31, 2006","MONTRÉAL",9,3,3,2.33333333333333
"122","2006-1","1060","J3Y","March 31, 2006","MONTRÉAL",19,7,2.71428571428571,0.428571428571429
"123","2006-1","1060","J4M","March 31, 2006","MONTRÉAL",1,1,1,0
"124","2006-1","1060","J4N","March 31, 2006","MONTRÉAL",11,6,1.83333333333333,1
"125","2006-1","1060","J4R","March 31, 2006","MONTRÉAL",0,1,0,0
"126","2006-1","1060","J4W","March 31, 2006","MONTRÉAL",2,1,2,0
"127","2006-1","1060","J4X","March 31, 2006","MONTRÉAL",1,2,0.5,0
"128","2006-1","1060","J4Y","March 31, 2006","MONTRÉAL",0,1,0,0
"129","2006-1","1060","J4Z","March 31, 2006","MONTRÉAL",9,3,3,1.33333333333333
"130","2006-1","1060","J5A","March 31, 2006","MONTRÉAL",10,1,10,0
"131","2006-1","1060","J5B","March 31, 2006","MONTRÉAL",3,7,0.428571428571429,0
"132","2006-1","1060","J5L","March 31, 2006","MONTRÉAL",16,13,1.23076923076923,0.153846153846154
"133","2006-1","1060","J5R","March 31, 2006","MONTRÉAL",10,9,1.11111111111111,0
"134","2006-1","1060","J5T","March 31, 2006","MONTRÉAL",4,6,0.666666666666667,0
"135","2006-1","1060","J5W","March 31, 2006","MONTRÉAL",12,13,0.923076923076923,0
"136","2006-1","1060","J5Y","March 31, 2006","MONTRÉAL",25,24,1.04166666666667,0.0833333333333333
"137","2006-1","1060","J5Z","March 31, 2006","MONTRÉAL",52,32,1.625,0.59375
"138","2006-1","1060","J6A","March 31, 2006","MONTRÉAL",0,1,0,0
"139","2006-1","1060","J6J","March 31, 2006","MONTRÉAL",0,7,0,0
"140","2006-1","1060","J6K","March 31, 2006","MONTRÉAL",4,3,1.33333333333333,1
"141","2006-1","1060","J6N","March 31, 2006","MONTRÉAL",0,1,0,0
"142","2006-1","1060","J6R","March 31, 2006","MONTRÉAL",1,3,0.333333333333333,0
"143","2006-1","1060","J6X","March 31, 2006","MONTRÉAL",1,1,1,0
"144","2006-1","1060","J6Y","March 31, 2006","MONTRÉAL",12,11,1.09090909090909,0
"145","2006-1","1060","J7A","March 31, 2006","MONTRÉAL",0,2,0,0
"146","2006-1","1060","J7C","March 31, 2006","MONTRÉAL",0,8,0,0
"147","2006-1","1060","J7E","March 31, 2006","MONTRÉAL",12,2,6,0
"148","2006-1","1060","J7J","March 31, 2006","MONTRÉAL",2,3,0.666666666666667,0
"149","2006-1","1060","J7K","March 31, 2006","MONTRÉAL",0,7,0,0
"150","2006-1","1060","J7M","March 31, 2006","MONTRÉAL",24,35,0.685714285714286,0.142857142857143
"151","2006-1","1060","J7R","March 31, 2006","MONTRÉAL",1,2,0.5,0
"152","2006-1","1060","J7V","March 31, 2006","MONTRÉAL",17,22,0.772727272727273,0.136363636363636
"153","2006-1","1060","J7Y","March 31, 2006","MONTRÉAL",9,5,1.8,0.6
"154","2006-1","1060","J7Z","March 31, 2006","MONTRÉAL",9,4,2.25,1.5
"155","2006-1","1060","nan","March 31, 2006","MONTRÉAL",2063,968,2.13119834710744,0.99896694214876
"156","2006-1","1265","K0A","March 31, 2006","OTTAWA",14,39,0.358974358974359,0
"157","2006-1","1265","K1C","March 31, 2006","OTTAWA",1,1,1,0
"158","2006-1","1265","K1K","March 31, 2006","OTTAWA",0,1,0,0
"159","2006-1","1265","K1L","March 31, 2006","OTTAWA",0,1,0,0
"160","2006-1","1265","K1T","March 31, 2006","OTTAWA",2,2,1,0
"161","2006-1","1265","K1V","March 31, 2006","OTTAWA",4,2,2,0
"162","2006-1","1265","K1Z","March 31, 2006","OTTAWA",1,1,1,0
"163","2006-1","1265","K2A","March 31, 2006","OTTAWA",0,1,0,0
"164","2006-1","1265","K2B","March 31, 2006","OTTAWA",0,1,0,0
"165","2006-1","1265","K2C","March 31, 2006","OTTAWA",0,2,0,0
"166","2006-1","1265","K2E","March 31, 2006","OTTAWA",0,2,0,0
"167","2006-1","1265","K2G","March 31, 2006","OTTAWA",0,2,0,0
"168","2006-1","1265","K2K","March 31, 2006","OTTAWA",0,2,0,0
"169","2006-1","1265","K2M","March 31, 2006","OTTAWA",0,3,0,0
"170","2006-1","1265","K2S","March 31, 2006","OTTAWA",1,5,0.2,0
"171","2006-1","1265","K2T","March 31, 2006","OTTAWA",1,1,1,0
"172","2006-1","1265","K4M","March 31, 2006","OTTAWA",0,1,0,0
"173","2006-1","1265","K4P","March 31, 2006","OTTAWA",0,2,0,0
"174","2006-1","1265","nan","March 31, 2006","OTTAWA",253,260,0.973076923076923,0
