"ref_yy","metcode","metro","avglengthofconstr_sfd","avglengthofconstr_semi","avglengthofconstr_row","avglengthofconstr_apt"
"2018","1265","OTTAWA",7.04001600640256,3.72151898734177,1.58146639511202,0.456701030927835
"2018","2270","TORONTO",10.8719688542825,5.17332268370607,1.93652989088674,0.168901330975885
"2018","2410","VANCOUVER",12.1487620216902,5.88418079096045,2.0262486328837,0.260357578803762
"2019","0140","CALGARY",6.91081871345029,3.74571917808219,1.66933991363356,0.272522522522523
"2019","0340","EDMONTON",7.25011933174224,3.68768768768769,2.30044843049327,0.254040758959944
"2019","1060","MONTRÃAL",5.74293333333333,2.99848714069592,1.58208955223881,0.402730565617164
"2019","1265","OTTAWA",7.42899408284024,3.68150684931507,1.91280044717719,0.459087617668356
"2019","2270","TORONTO",11.7668548654932,5.68939393939394,1.77861117832083,0.19276364534453
"2019","2410","VANCOUVER",12.7301738509169,5.85459183673469,2.42670598146588,0.264100268576544
"2020","0140","CALGARY",6.54126213592233,3.66014234875445,1.82683706070288,0.299120992761117
"2020","0340","EDMONTON",7.52746993633577,4.24258160237389,2.13671599718111,0.213779415934222
"2020","1060","MONTRÃAL",5.5825641025641,2.78045112781955,1.61163522012579,0.379234469348071
"2020","1265","OTTAWA",8.63206412825651,5.06204379562044,1.98786102971955,0.542604501607717
"2020","2270","TORONTO",12.3468700919901,5.81878306878307,2.01100492325514,0.148260211800303
"2020","2410","VANCOUVER",13.753120665742,6.17918088737201,2.39156626506024,0.275462962962963
"2021","0140","CALGARY",5.85413048871248,3.19369369369369,1.75471698113208,0.223089343379978
"2021","0340","EDMONTON",6.66986082591832,3.6721044045677,1.8875,0.243287671232877
"2021","1060","MONTRÃAL",5.55654383735705,2.59387483355526,1.55813953488372,0.367719811108613
"2021","1265","OTTAWA",8.87660944206009,5.01515151515152,1.97769376181474,0.465541995692749
"2021","2270","TORONTO",11.5156334718959,7.03,1.86821266968326,0.166174792429072
"2021","2410","VANCOUVER",13.2949482271729,6.14795918367347,2.31825909554573,0.274634534222277
"2022","0140","CALGARY",7.36020408163265,3.74957698815567,1.95864406779661,0.25036523009496
"2022","0340","EDMONTON",7.87284357433611,4.26995798319328,1.89809335963182,0.286981402002861
"2022","1060","MONTRÃAL",6.61656746031746,3.03246753246753,1.49728752260398,0.337370242214533
"2022","1265","OTTAWA",10.2433697347894,6.30051813471503,2.1484375,0.46719340432841
"2022","2270","TORONTO",12.0876900259548,5.61640211640212,1.94154976619906,0.149798233177009
"2022","2410","VANCOUVER",13.3441108545035,6.1,2.55735430157262,0.29252414951701
"2023","0140","CALGARY",8.05404469080201,4.29689440993789,2.05758722152165,0.384508670520231
"2023","0340","EDMONTON",8.2511100148002,4.30309278350515,1.91215403128761,0.302763220581229
"2023","1060","MONTRÃAL",7.87281795511222,4.07692307692308,1.84250474383302,0.358487486398259
"2023","1265","OTTAWA",10.881654538491,6.176,2.49908858913598,0.399938893981057
"2023","2270","TORONTO",13.3088748019017,6.60591133004926,2.0266149870801,0.134890193815553
"2023","2410","VANCOUVER",13.880517756389,6.47034764826176,2.88013698630137,0.325919311632438
