"ref_yy","metcode","metro","three_or_fewer_stories","four_to_six_stories","seven_to_twenty_stories","twentyone_to_thirty_stories","greater_than_thirty_stories","avglengthofconstr"
"2019","0340","EDMONTON",7.40902311707681,17.6153846153846,39.3333333333333,32,NA,10.5877437325905
"2019","2410","VANCOUVER",12.5450118063754,20.6534653465347,22.2,24.6666666666667,31.75,14.9054487179487
"2020","0340","EDMONTON",7.81587748635804,16.15625,11,19,38,10.5166666666667
"2020","2410","VANCOUVER",13.4026202268733,21.3039215686275,24.5714285714286,30.6363636363636,34.4545454545455,15.45
"2021","0340","EDMONTON",6.88276570255006,14.5172413793103,19,26,47,8.98802395209581
"2021","2410","VANCOUVER",12.9166379607303,24.0520833333333,25.9512195121951,27.9285714285714,29.7692307692308,15.7932960893855
"2022","0340","EDMONTON",8.03066073892381,14.0714285714286,32,18,NA,9.32853717026379
"2022","2410","VANCOUVER",12.9781275551922,22.049504950495,25.7931034482759,26.3333333333333,28.75,16.1262458471761
"2023","0340","EDMONTON",8.40239969036253,15.9130434782609,17.6,29,NA,9.8429203539823
"2023","2410","VANCOUVER",13.7569585879158,23.2947368421053,26.3076923076923,27.5,37.0909090909091,17.4747145187602
"1988","2270","TORONTO",7.5590345727332,10,14.5555555555556,16,NA,8.21764705882353
"1989","2270","TORONTO",7.10256262597178,15.6666666666667,14.5,18.7857142857143,14.5,9.18857142857143
"1990","2270","TORONTO",9.09392948661306,12.6666666666667,16.0384615384615,18.4444444444444,22.5,9.84761904761905
"1991","2270","TORONTO",8.14684625492773,12.4117647058824,16,16.7272727272727,15,8.68591224018476
"1992","2270","TORONTO",8.33908832508685,11.1666666666667,14.8888888888889,13,29,7.38035714285714
"1993","2270","TORONTO",6.310349408795,12.3846153846154,15.1739130434783,11,NA,8.63323782234957
"1994","2270",NA,6.24567605100366,12.75,11.2,NA,NA,7.81818181818182
"1995","2270","TORONTO",6.82839731870811,11.8888888888889,24.7142857142857,NA,NA,7.62178217821782
"1996","2270","TORONTO",6.86510090876903,12.3157894736842,13.4,14.5,NA,8.03945111492281
"1997","2270",NA,6.01432710882164,11.8333333333333,11,NA,NA,6.96695226438189
"1998","2270","TORONTO",6.3780285691737,14,12.75,NA,6,6.62938881664499
"1999","2270","TORONTO",6.57278877474317,11,17,14,26,7.92009987515605
"2000","2270","TORONTO",6.66787193095002,13.5,14.8,20,NA,8.51746031746032
"2001","2270","TORONTO",6.57122107582891,19,16,NA,NA,7.95619047619048
"2002","2270","TORONTO",5.91727814721394,12,16.5,20.1428571428571,28,8.0813704496788
"2003","2270","TORONTO",6.39967278868482,9,16.5833333333333,23,14.5,8.01300236406619
"2004","2270","TORONTO",6.89580776130677,15.1,19.625,20.5,18,8.40566037735849
"2005","2270","TORONTO",7.0612298620617,20.8,16.75,22,21.2,8.88205128205128
"2006","2270","TORONTO",7.47724254497163,14.7,17.7368421052632,19.4,28.3333333333333,8.99706170421156
"2007","2270","TORONTO",7.36070455553444,13.2,17.7272727272727,20,27.25,9.63050153531218
"2008","2270","TORONTO",8.12150016165535,23.3333333333333,26.7058823529412,31.0833333333333,35.1428571428571,11.4911660777385
"2009","2270","TORONTO",8.90485512920908,12.4,24.9411764705882,21.4,31.6363636363636,12.2488619119879
"2010","2270","TORONTO",8.05698904770744,18.1428571428571,23.3,23,27.9,12.3847328244275
"2011","2270","TORONTO",8.6050178500595,24.5833333333333,23.8571428571429,28.1818181818182,32.1333333333333,11.0956749672346
"2012","2270","TORONTO",9.11783801330953,16.2380952380952,22.1666666666667,28.2,37.6666666666667,11.1797900262467
"2013","2270","TORONTO",9.40343607010274,17.9411764705882,19.2380952380952,24.6363636363636,31.1818181818182,11.7551266586248
"2014","2270","TORONTO",9.81825672953672,17.3235294117647,24.6923076923077,34.6666666666667,31.375,12.5212464589235
"2015","2270","TORONTO",9.07194734453019,19.2,24.5714285714286,31.0869565217391,33.7352941176471,13.8825301204819
"2016","2270","TORONTO",10.6998772310889,17.625,26.5945945945946,20.1428571428571,32.9285714285714,13.1266747868453
"2017","2270","TORONTO",10.5380168963984,19.7111111111111,24.2941176470588,24.8571428571429,34.3333333333333,14.2855731225296
"2018","2270","TORONTO",11.0017715617716,17.9024390243902,25.5161290322581,27.5882352941176,29.4166666666667,13.3106312292359
"2019","2270","TORONTO",11.8054458239278,20.0526315789474,26.0285714285714,31,34.3333333333333,13.8899204244032
"2020","2270","TORONTO",12.4104505169867,19.3125,24.5185185185185,30.5714285714286,34.25,15.0898203592814
"2021","2270","TORONTO",11.7215944758318,23.8,29.8181818181818,27.1538461538462,31.52,15.295197740113
"2022","2270","TORONTO",12.1224555217182,20.6666666666667,28.6774193548387,25.1875,35,15.4223826714801
"2023","2270","TORONTO",13.403066966798,19.3529411764706,27.8478260869565,29.125,33,16.5413744740533
