"ref_yy","metcode","metro","three_to_five_units","six_to_twenty_units","twentyone_to_sixty_units","sixtyone_to_onehundred_units","greater_than_onehundred_units","avglengthofconstr"
"2021","1060","MONTRÉAL",6.60160965794769,8.13874345549738,12.5789473684211,15.2857142857143,18.8518518518519,8.43203883495146
"2021","2410","VANCOUVER",12.7845659163987,13.83984375,24.5744680851064,24.6153846153846,26.5714285714286,15.7932960893855
"2022","1060","MONTRÉAL",7.67733333333333,9.1058495821727,12,16.8709677419355,19.4929577464789,9.81305309734513
"2022","2410","VANCOUVER",13.462962962963,14.9086294416244,21.7708333333333,22.4545454545455,25,16.1262458471761
"2023","1060","MONTRÉAL",8.64634146341463,10.665306122449,14.8153846153846,17.1470588235294,21.9655172413793,11.6666666666667
"2023","2410","VANCOUVER",15.5896551724138,16.1775700934579,23.7333333333333,22.1481481481481,28.7297297297297,17.4747145187602
"1988","0340","EDMONTON",4.3,3,5,NA,NA,4.27272727272727
"1988","2270","TORONTO",7.21698113207547,7.33678756476684,11.7,16.8,15.8461538461538,8.21764705882353
"1989","0340","EDMONTON",4.79365079365079,10.3333333333333,6,9,9,5.17391304347826
"1989","2270","TORONTO",7.82442748091603,7.3127147766323,10.7857142857143,15.3,17.3037974683544,9.18857142857143
"1990","0340","EDMONTON",6.78205128205128,8,10.6666666666667,8.66666666666667,NA,7.17204301075269
"1990","2270","TORONTO",6.70422535211268,8.10062893081761,10.1333333333333,15.5,17.3035714285714,9.84761904761905
"1991","0340","EDMONTON",5.51851851851852,6.28571428571429,9.57142857142857,11.5,NA,6.18181818181818
"1991","2270","TORONTO",7.36363636363636,6.99581589958159,11.6842105263158,14,16.5789473684211,8.68591224018476
"1992","0340","EDMONTON",6.56565656565657,6.37142857142857,10.25,9.5,NA,6.76388888888889
"1992","2270","TORONTO",6.29333333333333,6.56379821958457,13.5,11.5384615384615,13.9722222222222,7.38035714285714
"1993","0340","EDMONTON",5.33846153846154,7.86,8.4,9,NA,6.22164948453608
"1993","2270","TORONTO",6.61111111111111,7.58100558659218,12.625,11.7058823529412,14.3333333333333,8.63323782234957
"1994","0340","EDMONTON",6.58426966292135,7.09523809523809,11.9,11.6,8.75,7.34108527131783
"1994","2270",NA,7.1,7.17277486910995,11.9166666666667,12.3636363636364,14.1739130434783,7.81818181818182
"1995","0340","EDMONTON",6.51851851851852,5.81818181818182,9.28571428571429,8.25,NA,6.89795918367347
"1995","2270","TORONTO",6.90686274509804,7.0281124497992,10.0714285714286,11.875,19.5625,7.62178217821782
"1996","0340","EDMONTON",11.8,18.7142857142857,13.8,22.6666666666667,NA,13.62
"1996","2270","TORONTO",7.43575418994413,7.44082840236686,12.1891891891892,13.0833333333333,13.7058823529412,8.03945111492281
"1997","0340","EDMONTON",10.8888888888889,8.75,15,34,10,11.4666666666667
"1997","2270",NA,6.94306049822064,6.72047244094488,10.7142857142857,10,12.3333333333333,6.96695226438189
"1998","0340","EDMONTON",7.6551724137931,10.6,10.5,43,15,9.29333333333333
"1998","2270","TORONTO",6.33755274261603,6.58661417322835,9.08333333333333,9.33333333333333,12.5555555555556,6.62938881664499
"1999","0340","EDMONTON",8.14,9,10.1538461538462,12.6666666666667,14.5,8.91428571428571
"1999","2270","TORONTO",7.6,7.64315352697095,11.5,14.5,14.1,7.92009987515605
"2000","0340","EDMONTON",8.53488372093023,9.33333333333333,10.1666666666667,10.8333333333333,14.1666666666667,9.46875
"2000","2270","TORONTO",8.11417322834646,8.24290220820189,10.5,13.5,14.8965517241379,8.51746031746032
"2001","0340","EDMONTON",6.42857142857143,6.42307692307692,12.4166666666667,12.5,16,9.20731707317073
"2001","2270","TORONTO",7.61917098445596,7.57648953301127,16.0909090909091,15.4666666666667,17.5882352941176,7.95619047619048
"2002","0340","EDMONTON",8.13636363636364,6.92857142857143,10.0454545454545,11.5,10.75,8.56603773584906
"2002","2270","TORONTO",6.472,7.00871080139373,16.6530612244898,14.5833333333333,18.6938775510204,8.0813704496788
"2003","0340","EDMONTON",7.48051948051948,8.7741935483871,10.2916666666667,12.4,14.6666666666667,8.94771241830065
"2003","2270","TORONTO",6.92885375494071,7.32375478927203,13.9473684210526,16.8,18.3333333333333,8.01300236406619
"2004","0340","EDMONTON",8.85074626865672,8.92307692307692,12.8461538461538,14.1333333333333,14.9090909090909,10.3333333333333
"2004","2270","TORONTO",7.93992932862191,7.80687397708674,13.6470588235294,13.2,18.5263157894737,8.40566037735849
"2005","0340","EDMONTON",10.0847457627119,8.26829268292683,13.4166666666667,16.1818181818182,19.5555555555556,10.9772727272727
"2005","2270","TORONTO",7.87748344370861,7.98803418803419,16.75,15.7857142857143,20.2619047619048,8.88205128205128
"2006","0340","EDMONTON",9.62686567164179,10.887323943662,14.4444444444444,15.8666666666667,21.5,11.6648044692737
"2006","2270","TORONTO",8.20469798657718,8.37301587301587,11.8611111111111,15,19.2790697674419,8.99706170421156
"2007","0340","EDMONTON",11.6219512195122,12.9245283018868,16.3076923076923,18,22.875,13.2743902439024
"2007","2270","TORONTO",8.28908554572271,9.58031088082902,16.3125,16.3333333333333,20.0416666666667,9.63050153531218
