reference_period,ref_qq,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2008-03-01,1,0140,Calgary,T2V,2.0,3,0.67,0.0
2008-03-01,1,0140,Calgary,T0M,0.0,1,0.0,0.0
2008-03-01,1,0140,Calgary,nan,604.0,1147,0.53,0.0
2008-06-01,2,0140,Calgary,T2H,5.0,3,1.67,0.0
2008-06-01,2,0140,Calgary,T2G,2.0,5,0.4,0.0
2008-06-01,2,0140,Calgary,T2M,3.0,5,0.6,0.0
2008-06-01,2,0140,Calgary,T3B,4.0,5,0.8,0.0
2008-06-01,2,0140,Calgary,T2S,0.0,2,0.0,0.0
2008-06-01,2,0140,Calgary,T2A,0.0,2,0.0,0.0
2008-06-01,2,0140,Calgary,T2B,2.0,7,0.29,0.0
2008-06-01,2,0140,Calgary,T2T,31.0,25,1.24,0.0
2008-06-01,2,0140,Calgary,T2V,0.0,1,0.0,0.0
2008-06-01,2,0140,Calgary,T3E,31.0,43,0.72,0.0
2008-06-01,2,0140,Calgary,T0L,0.0,1,0.0,0.0
2008-06-01,2,0140,Calgary,T2E,5.0,10,0.5,0.4
2008-06-01,2,0140,Calgary,T2Y,1.0,1,1.0,0.0
2008-06-01,2,0140,Calgary,T2N,19.0,21,0.9,0.0
2008-06-01,2,0140,Calgary,T0M,0.0,1,0.0,0.0
2008-06-01,2,0140,Calgary,T2L,0.0,2,0.0,0.0
2008-06-01,2,0140,Calgary,T2C,44.0,55,0.8,0.07
2008-06-01,2,0140,Calgary,T3C,6.0,5,1.2,0.0
2008-06-01,2,0140,Calgary,T3J,4.0,11,0.36,0.0
2008-06-01,2,0140,Calgary,T4C,6.0,34,0.18,0.0
2008-06-01,2,0140,Calgary,T2K,0.0,1,0.0,0.0
2008-06-01,2,0140,Calgary,nan,590.0,1043,0.57,0.0
2008-09-01,3,0140,Calgary,T3E,24.0,33,0.73,0.0
2008-09-01,3,0140,Calgary,T2B,2.0,3,0.67,0.0
2008-09-01,3,0140,Calgary,T3B,5.0,8,0.63,0.0
2008-09-01,3,0140,Calgary,T2G,2.0,3,0.67,0.0
2008-09-01,3,0140,Calgary,T2M,8.0,7,1.14,0.0
2008-09-01,3,0140,Calgary,T2N,16.0,21,0.76,0.0
2008-09-01,3,0140,Calgary,T4C,22.0,49,0.45,0.0
2008-09-01,3,0140,Calgary,T2E,5.0,9,0.56,0.44
2008-09-01,3,0140,Calgary,T2T,28.0,34,0.82,0.0
2008-09-01,3,0140,Calgary,T2S,1.0,1,1.0,0.0
2008-09-01,3,0140,Calgary,T2K,0.0,1,0.0,0.0
2008-09-01,3,0140,Calgary,T3C,5.0,3,1.67,0.0
2008-09-01,3,0140,Calgary,nan,713.0,1043,0.68,0.0
2008-09-01,3,0140,Calgary,T2C,47.0,27,1.74,0.15
2008-09-01,3,0140,Calgary,T2L,2.0,1,2.0,0.0
2008-09-01,3,0140,Calgary,T2H,2.0,1,2.0,0.0
2008-09-01,3,0140,Calgary,T2V,0.0,3,0.0,0.0
2008-09-01,3,0140,Calgary,T3J,2.0,4,0.5,0.0
2008-12-01,4,0140,Calgary,T1Y,11.0,1,11.0,0.0
2008-12-01,4,0140,Calgary,T2B,3.0,4,0.75,0.0
2008-12-01,4,0140,Calgary,T3J,1.0,2,0.5,0.0
2008-12-01,4,0140,Calgary,T2V,2.0,3,0.67,0.0
2008-12-01,4,0140,Calgary,T2G,3.0,4,0.75,0.0
