reference_period,metcode,metro,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt,inventory_per_10kpop
2004,0340,Edmonton,5.0,3.0,491.0,37,13.27,2.81,4.73
2004,0340,Edmonton,2.0,3.0,67.0,76,0.88,0.0,0.65
2004,0340,Edmonton,4.0,3.0,45.0,28,1.61,0.0,0.43
2005,0340,Edmonton,1.0,1.0,570.0,1150,0.5,0.0,5.33
2005,0340,Edmonton,2.0,3.0,49.0,70,0.7,0.0,0.46
2005,0340,Edmonton,5.0,3.0,436.0,33,13.21,4.0,4.07
2005,0340,Edmonton,2.0,1.0,56.0,73,0.77,0.0,0.52
2005,0340,Edmonton,1.0,3.0,1.0,2,0.5,0.0,0.01
2005,0340,Edmonton,4.0,3.0,33.0,20,1.65,0.0,0.31
2006,0340,Edmonton,5.0,3.0,96.0,10,9.6,4.1,0.87
2006,0340,Edmonton,1.0,1.0,475.0,1023,0.46,0.0,4.32
2006,0340,Edmonton,4.0,3.0,15.0,6,2.5,0.33,0.14
2006,0340,Edmonton,2.0,3.0,31.0,42,0.74,0.0,0.28
2006,0340,Edmonton,2.0,1.0,92.0,100,0.92,0.0,0.84
2007,0340,Edmonton,1.0,3.0,0.0,1,0.0,0.0,0.0
2007,0340,Edmonton,4.0,3.0,25.0,11,2.27,0.0,0.22
2007,0340,Edmonton,1.0,1.0,837.0,1499,0.56,0.0,7.42
2007,0340,Edmonton,2.0,3.0,21.0,43,0.49,0.0,0.19
2007,0340,Edmonton,2.0,1.0,124.0,120,1.03,0.0,1.1
2007,0340,Edmonton,5.0,3.0,67.0,5,13.4,4.0,0.59
2008,0340,Edmonton,4.0,1.0,11.0,9,1.22,0.0,0.09
2008,0340,Edmonton,1.0,3.0,5.0,5,1.0,0.0,0.04
2008,0340,Edmonton,5.0,3.0,155.0,10,15.5,2.4,1.34
2008,0340,Edmonton,2.0,3.0,51.0,42,1.21,0.0,0.44
2008,0340,Edmonton,4.0,3.0,127.0,45,2.82,0.09,1.09
2008,0340,Edmonton,1.0,1.0,979.0,1312,0.75,0.0,8.44
2008,0340,Edmonton,2.0,1.0,167.0,151,1.11,0.0,1.44
2009,0340,Edmonton,5.0,3.0,734.0,32,22.94,3.56,6.21
2009,0340,Edmonton,4.0,3.0,140.0,45,3.11,0.2,1.19
2009,0340,Edmonton,2.0,1.0,64.0,40,1.6,0.0,0.54
2009,0340,Edmonton,1.0,1.0,396.0,396,1.0,0.0,3.35
