id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,Ward,longitude,latitude,location
2713,63B WHITEHAVEN RD NE,63 WHITEHAVEN RD NE,WHITEHORN,2019/05/16,2019/05/16,BP2019-02916,1516,5,-113.97992663521532,51.09462071364228,"(51.09462071364228, -113.97992663521532)"
1181,214B 8 ST NE,214 8 ST NE,BRIDGELAND/RIVERSIDE,2019/08/29,2019/08/29,BP2019-00315,1842,4,-114.04281676320453,51.05379712558726,"(51.05379712558726, -114.04281676320453)"
749,16 TUSCANY SPRINGS GV NW,16 TUSCANY SPRINGS GV NW,TUSCANY,2018/05/31,2018/05/31,BP2017-14016,1003,1,-114.25108920986125,51.13318467246882,"(51.13318467246882, -114.25108920986125)"
1507,261 WALDEN SQ SE,261 WALDEN SQ SE,WALDEN,2016/05/10,2016/03/16,BP2015-15740,495,14,-114.02841367694957,50.87562305886258,"(50.87562305886258, -114.02841367694957)"
7,#2 1008 17 AV NW,1008 17 AV NW,MOUNT PLEASANT,2018/05/29,2018/05/29,BP2016-13107,1000,4,-114.08348760968036,51.06804753906935,"(51.06804753906935, -114.08348760968036)"
2658,616 ABOYNE CR NE,616 ABOYNE CR NE,ABBEYDALE,2017/09/15,2017/09/15,BP2017-06744,828,10,-113.93325702068105,51.06076132889885,"(51.06076132889885, -113.93325702068105)"
911,1816R 42 ST SE,1816 42 ST SE,FOREST LAWN,2017/04/06,2017/04/06,BP2017-01385,721,9,-113.97256496209818,51.03710547804461,"(51.03710547804461, -113.97256496209818)"
2538,5659 MAIDSTONE CR NE,5659 MAIDSTONE CR NE,MARLBOROUGH PARK,2020/05/27,2020/05/19,BP2019-17095,2962,10,-113.95215311280049,51.058188107516436,"(51.058188107516436, -113.95215311280049)"
2232,450B 34 AV NW,450 34 AV NW,HIGHLAND PARK,2019/04/15,2019/02/08,BP2018-14705,1298,4,-114.07092218257999,51.083481114906206,"(51.083481114906206, -114.07092218257999)"
1247,2220 36 ST SW,2220 36 ST SW,KILLARNEY/GLENGARRY,2016/07/15,2016/07/15,BP2016-01180,554,6,-114.1394113163977,51.03400766267924,"(51.03400766267924, -114.1394113163977)"
1291,22B HOWSE RO NE,22 HOWSE RO NE,LIVINGSTON,2019/01/18,2019/01/15,BP2018-14521,1262,3,-114.06755414985521,51.18874663262014,"(51.18874663262014, -114.06755414985521)"
1278,227 MCKENZIE TOWNE DR SE,227 MCKENZIE TOWNE DR SE,MCKENZIE TOWNE,2015/12/21,2015/12/21,BP2015-12896,459,12,-113.96624322437972,50.90607173940412,"(50.90607173940412, -113.96624322437972)"
2325,48 HARVEST OAK WY NE,48 HARVEST OAK WY NE,HARVEST HILLS,2015/09/01,2015/09/01,BP2014-18688,403,3,-114.05534389408089,51.153255217524894,"(51.153255217524894, -114.05534389408089)"
2857,712 24A ST NW,712 24A ST NW,WEST HILLHURST,2016/12/03,2016/12/02,BP2015-15728,612,7,-114.11893543339262,51.05814871036553,"(51.05814871036553, -114.11893543339262)"
457,13108 COVENTRY HILLS WY NE,13108 COVENTRY HILLS WY NE,COVENTRY HILLS,2016/06/15,2016/05/24,BP2015-10594,686,3,-114.05231730754842,51.169579257094874,"(51.169579257094874, -114.05231730754842)"
2675,6208B 37 ST SW,6208 37 ST SW,LAKEVIEW,2020/03/05,2020/02/21,BP2020-01889,2572,11,-114.1406468089196,50.99827995809481,"(50.99827995809481, -114.1406468089196)"
1453,2515B EXSHAW RD NW,2515 EXSHAW RD NW,BANFF TRAIL,2019/06/03,2019/06/03,BP2019-03729,1561,7,-114.10939961197698,51.07493656699199,"(51.07493656699199, -114.10939961197698)"
738,15G TOMMY PRINCE RD SW,15G TOMMY PRINCE RD SW,CFB - CURRIE,2011/10/17,2011/08/10,BP2011-00300,43,8,-114.13077859131417,51.02079436299956,"(51.02079436299956, -114.13077859131417)"
2944,7445 20 ST SE,7443 20 ST SE,OGDEN,2018/06/13,2018/06/13,BP2018-01743,1018,9,-114.01188436489511,50.9853528953031,"(50.9853528953031, -114.01188436489511)"
2931,7415 35 AV NW,7415 35 AV NW,BOWNESS,2012/01/11,2012/01/10,BP2011-10162,86,1,-114.19440610470868,51.08455621150717,"(51.08455621150717, -114.19440610470868)"
241,114B SADDLELAND CR NE,114 SADDLELAND CR NE,SADDLE RIDGE,2020/07/07,2020/05/27,BP2020-04320,3225,3,-113.93638281972709,51.132369639754046,"(51.132369639754046, -113.93638281972709)"
1685,30 MARTHA'S HAVEN WY NE,30 MARTHA'S HAVEN WY NE,MARTINDALE,2015/09/08,2015/08/14,BP2015-04095,998,3,-113.96587115866784,51.12489095229091,"(51.12489095229091, -113.96587115866784)"
2652,6139R 4 ST NE,6139 4 ST NE,THORNCLIFFE,2020/04/28,2020/04/28,BP2019-07958,2831,4,-114.05726934136003,51.10713775914696,"(51.10713775914696, -114.05726934136003)"
1488,258R DOUGLAS GLEN HE SE,258 DOUGLAS GLEN HE SE,DOUGLASDALE/GLEN,2016/08/31,2016/08/31,BP2016-06810,577,12,-114.00744226015802,50.95511329182968,"(50.95511329182968, -114.00744226015802)"
