Business Licence Number,Business ID,Address,Business Licence Type,Type of Residence,Licenced Date,Licenced Expiry Date,Status Description,longitude,latitude,Point,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
BL232149,15880115,#1508 4641 128 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/12,2021/02/11,Licensed,-113.95699523640559,51.16494160491507,POINT (-113.956995236406 51.164941604915),11,4,12,1
BL232693,15886534,#1316 4641 128 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/27,2021/02/26,Licensed,-113.95699523640559,51.16494160491507,POINT (-113.956995236406 51.164941604915),11,4,12,1
BL236203,15929128,315 2 AV NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/08/06,2021/08/06,Licensed,-114.05669397402798,51.05418688270106,POINT (-114.056693974028 51.054186882701),7,4,266,7
BL234599,15911001,#418 8604 48 AV NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/06/09,2021/06/09,Licensed,-114.21145792794087,51.09636501237067,POINT (-114.211457927941 51.096365012371),13,2,149,9
BL231406,15872435,82A 34 AV SW,,Duplex/triplex/fourplex,2020/02/03,2021/02/02,Cancelled,-114.06436153450042,51.02347668645546,POINT (-114.0643615345 51.023476686455),10,1,187,5
BL231410,15872468,740 SIERRA CR SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/02/03,2021/02/02,Licensed,-114.08011300851702,50.958101761343,POINT (-114.080113008517 50.958101761343),8,1,7,5
BL231390,15872252,#508 450 8 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/02,2021/02/01,Licensed,-114.05365133351484,51.04544860082783,POINT (-114.053651333515 51.045448600828),7,3,65,7
BL231395,15872302,13 DALHOUSIE CR NW,SHORT TERM RENTAL - TIER TWO,Duplex/triplex/fourplex,2020/02/19,2021/02/18,Licensed,-114.16428810681154,51.10746426014409,POINT (-114.164288106812 51.107464260144),7,2,38,4
BL231396,15872310,51 ARBOUR CREST RD NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.20344082896602,51.13611258915858,POINT (-114.203440828966 51.136112589159),3,2,244,10
BL231439,15872807,#8 2132 35 AV SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/03,2021/02/02,Licensed,-114.11111982463545,51.02229115556951,POINT (-114.111119824635 51.02229115557),8,1,200,2
BL232729,15886922,928R 40 AV NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/02/28,2021/02/27,Licensed,-114.08105912946982,51.089041502040835,POINT (-114.08105912947 51.089041502041),7,2,37,4
BL232763,15887458,415 SADDLEMONT BV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/29,2021/02/28,Licensed,-113.93025462059899,51.12993465535887,POINT (-113.930254620599 51.129934655359),11,4,2,1
BL232764,15887474,2308 MUNRO DR NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/03/01,2021/03/01,Licensed,-114.00708584742642,51.05789153120459,POINT (-114.007085847426 51.057891531205),12,4,140,3
BL232765,15887482,#409 220 12 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/01,2021/03/01,Licensed,-114.05967298457563,51.04154436687838,POINT (-114.059672984576 51.041544366878),14,3,260,5
BL232766,15887508,10 SOMERGLEN RD SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/03/01,2021/03/01,Licensed,-114.07638865951215,50.896620206389635,POINT (-114.076388659512 50.89662020639),5,1,55,6
BL232768,15887532,#2707 210 15 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/01,2021/03/01,Licensed,-114.06037258105482,51.038905787092034,POINT (-114.060372581055 51.038905787092),14,3,260,5
BL232772,15887581,15 YORKVILLE MR SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/03/02,2021/03/02,Licensed,-114.07337626144245,50.87500993088492,POINT (-114.073376261442 50.875009930885),6,1,53,6
BL233174,15893217,#1107 450 8 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/14,2021/03/14,Licensed,-114.05365133351484,51.04544860082783,POINT (-114.053651333515 51.045448600828),7,3,65,7
BL233175,15893225,#1004 450 8 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/14,2021/03/14,Licensed,-114.05365133351484,51.04544860082783,POINT (-114.053651333515 51.045448600828),7,3,65,7
BL233176,15893233,#1209 450 8 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/14,2021/03/14,Licensed,-114.05365133351484,51.04544860082783,POINT (-114.053651333515 51.045448600828),7,3,65,7
BL233178,15893274,950 MCKENZIE TOWNE MR SE,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/03/15,2021/03/15,Licensed,-113.95549275838833,50.91199100167315,POINT (-113.955492758388 50.911991001673),4,3,46,8
BL233180,15893290,#906 1122 3 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/15,2021/03/15,Licensed,-114.05564202146252,51.041903583414395,POINT (-114.055642021463 51.041903583414),14,3,260,5
BL236202,15929110,944 5A ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/08/06,2021/08/06,Licensed,-114.07544818502005,51.060816318790266,POINT (-114.07544818502 51.06081631879),7,2,62,7
