reference_period,ref_qq,metro,metcode,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,population,starts_per_10kpop
1993-11-01,4,Saskatoon,1700,352.0,,,296,1.19,0.0,0.03,222880.12,15.79
1994-01-01,1,Saskatoon,1700,212.0,,,140,1.51,0.09,0.03,226066.8,9.38
1994-05-01,2,Saskatoon,1700,868.0,,,580,1.5,0.03,0.14,226066.8,38.4
1994-09-01,3,Saskatoon,1700,584.0,,,476,1.23,0.03,0.24,226066.8,25.83
1994-12-01,4,Saskatoon,1700,1064.0,,,392,2.71,0.03,0.07,226066.8,47.07
1995-02-01,1,Saskatoon,1700,328.0,,,288,1.14,0.0,0.1,228510.7,14.35
1995-04-01,2,Saskatoon,1700,836.0,,,628,1.33,0.0,0.13,228510.7,36.58
1995-07-01,3,Saskatoon,1700,900.0,,,624,1.44,0.06,0.22,228510.7,39.39
1995-10-01,4,Saskatoon,1700,724.0,,,544,1.33,0.02,0.33,228510.7,31.68
1996-03-01,1,Saskatoon,1700,720.0,,,444,1.62,0.03,0.3,229608.61,31.36
1996-05-01,2,Saskatoon,1700,1808.0,,,1064,1.7,0.01,0.31,229608.61,78.74
1996-07-01,3,Saskatoon,1700,1512.0,,,764,1.98,0.0,0.3,229608.61,65.85
1996-10-01,4,Saskatoon,1700,792.0,,,624,1.27,0.0,0.27,229608.61,34.49
1997-03-01,1,Saskatoon,1700,684.0,,,600,1.14,0.0,0.54,231285.44,29.57
1997-04-01,2,Saskatoon,1700,1648.0,,,1056,1.56,0.0,0.37,231285.44,71.25
1997-07-01,3,Saskatoon,1700,1240.0,,,816,1.52,0.0,0.35,231285.44,53.61
1997-12-01,4,Saskatoon,1700,1176.0,,,764,1.54,0.0,0.56,231285.44,50.85
1998-03-01,1,Saskatoon,1700,692.0,,,508,1.36,0.0,0.31,232227.48,29.8
1998-04-01,2,Saskatoon,1700,1592.0,,,996,1.6,0.0,0.3,232227.48,68.55
1998-09-01,3,Saskatoon,1700,1412.0,,,972,1.45,0.0,0.36,232227.48,60.8
1998-12-01,4,Saskatoon,1700,852.0,,,616,1.38,0.0,0.49,232227.48,36.69
1999-03-01,1,Saskatoon,1700,736.0,,,472,1.56,0.0,0.37,232317.51,31.72
1999-05-01,2,Saskatoon,1700,1292.0,,,1080,1.2,0.0,0.13,232317.51,55.69
1999-09-01,3,Saskatoon,1700,2192.0,,,924,2.37,0.0,0.17,232317.51,94.48
1999-10-01,4,Saskatoon,1700,872.0,,,732,1.19,0.0,0.25,232317.51,37.59
2000-03-01,1,Saskatoon,1700,576.0,,,440,1.31,0.0,0.31,232228.6,24.8
2000-05-01,2,Saskatoon,1700,1324.0,,,1084,1.22,0.0,0.31,232228.6,57.01
2000-07-01,3,Saskatoon,1700,1224.0,,,708,1.73,0.0,0.03,232228.6,52.71
2000-11-01,4,Saskatoon,1700,748.0,,,520,1.44,0.0,0.01,232228.6,32.21
2001-01-01,1,Saskatoon,1700,592.0,,,500,1.18,0.0,-0.07,233960.19,25.3
2001-04-01,2,Saskatoon,1700,864.0,,,668,1.29,0.0,0.04,233960.19,36.93
2001-07-01,3,Saskatoon,1700,1300.0,,,708,1.84,0.0,0.2,233960.19,55.57
2001-11-01,4,Saskatoon,1700,844.0,,,568,1.49,0.0,0.04,233960.19,36.07
2002-01-01,1,Saskatoon,1700,896.0,,,572,1.57,0.0,0.15,235521.96,38.04
2002-04-01,2,Saskatoon,1700,1260.0,,,976,1.29,0.0,0.15,235521.96,53.5
2002-07-01,3,Saskatoon,1700,2148.0,,,1096,1.96,0.0,0.15,235521.96,91.2
